fullback,team,season_id,Cluster_Label,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation
Vitorino Gabriel Pacheco Antunes,Getafe,4,Defensive Specialist,6.3,6.0,7.6,6.5,7.2
José Luis Morales Nogales,Levante UD,4,Attacking Wing-Back,6.1,6.9,6.3,7.5,6.8
Bernardo Fernandes da Silva Junior,Bochum,281,Progressive Playmaker,7.0,6.6,6.4,6.5,7.0
Abdou Diallo,Paris Saint-Germain,108,Progressive Playmaker,7.2,7.5,5.9,6.2,6.7
Alexander Prass,Austria,282,Progressive Playmaker,7.1,6.3,6.2,6.4,7.5
Bruno Miguel Borges Fernandes,Portugal,106,Defensive Specialist,6.0,6.4,7.0,6.5,7.5
Alfonso Pedraza Sag,Villarreal,4,Complete Fullback,6.3,6.4,7.5,7.2,6.0
Jeremie Frimpong,Bayer Leverkusen,281,Defensive Specialist,6.2,6.3,5.4,7.5,8.0
Mihailo Ristić,Montpellier,108,Defensive Specialist,6.3,6.0,7.9,6.0,7.1
Žan Karničnik,Slovenia,282,Complete Fullback,6.9,6.4,7.2,6.2,6.6
Matteo Bianchetti,Hellas Verona,27,Complete Fullback,6.8,6.4,8.3,6.0,5.8
Abdoulaye Bamba,Angers,235,Attacking Wing-Back,6.3,7.0,6.8,7.2,6.0
Jonathan Ludovic Biabiany,Inter Milan,27,Defensive Specialist,6.7,5.5,6.4,6.4,8.2
Joan Sastre Vanrell,Mallorca,42,Complete Fullback,6.4,6.2,7.7,6.3,6.6
Riccardo Fiamozzi,Genoa,27,Attacking Wing-Back,6.9,6.8,5.7,7.9,5.9
Connor Roberts,Wales,106,Attacking Wing-Back,6.7,6.1,6.1,7.4,6.9
César Azpilicueta Tanco,Spain,106,Attacking Wing-Back,6.5,7.6,5.2,7.5,6.3
Théo Sainte-Luce,Montpellier,235,Complete Fullback,6.3,6.8,7.2,7.1,5.7
Dennis Appiah,Nantes,235,Defensive Specialist,6.5,6.2,7.5,5.6,7.3
Kiliann Sildillia,Freiburg,281,Complete Fullback,6.3,6.5,7.2,6.4,6.6
Kieran Trippier,England,282,Progressive Playmaker,6.9,6.2,6.0,6.8,7.1
Mads Pedersen,Augsburg,281,Attacking Wing-Back,6.3,6.1,6.6,7.8,6.2
Benjamin Henrichs,RB Leipzig,281,Defensive Specialist,6.5,6.5,6.2,6.5,7.2
Noah Fadiga,Stade Brestois,235,Attacking Wing-Back,6.3,6.8,7.0,7.1,5.7
Francisco Gámez López,Mallorca,42,Complete Fullback,6.1,6.8,7.4,6.3,6.3
Jonathan Clauss,Marseille,235,Progressive Playmaker,6.7,7.0,5.5,6.5,7.2
Sergio Reguilón Rodríguez,Real Madrid,4,Attacking Wing-Back,6.3,6.8,6.4,6.5,6.8
Aarón Martín Caricol,Celta Vigo,90,Complete Fullback,6.2,6.5,7.2,7.2,5.7
Wayne Bridge,Chelsea,44,Progressive Playmaker,7.0,6.4,5.9,6.4,7.1
Lucas Vázquez Iglesias,Real Madrid,90,Attacking Wing-Back,6.1,6.5,6.5,7.2,6.5
