,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id
469,Peter Pekarík,Slovakia,293.95,8.0,6.4,6.4,7.0,7.1,3,3.3,0.04,0.04,0.03,0.03,0.0,6.98,55,282
237,Iago Amaral Borduchi,Augsburg,180.98,7.7,6.9,7.0,6.3,6.9,2,2.0,0.03,0.04,0.03,0.02,0.0,6.96,9,281
246,Ismaily Gonçalves dos Santos,Lille,88.0,6.4,6.9,7.9,6.7,6.8,1,1.0,0.03,0.04,0.03,0.03,0.0,6.94,7,235
533,Thomas Foket,Stade de Reims,91.98,6.3,6.9,8.2,6.4,6.9,1,1.0,0.03,0.04,0.03,0.03,0.0,6.94,7,235
173,Erik Janža,Slovenia,184.97,7.3,6.0,7.3,6.5,7.5,2,2.1,0.04,0.04,0.03,0.03,0.0,6.92,55,282
565,Yahia Attiyat allah,Morocco,190.95,7.4,6.2,6.9,6.8,7.3,2,2.1,0.03,0.03,0.02,0.02,0.0,6.92,43,106
267,Jesús Daniel Gallardo Vasconcelos,Mexico,189.97,7.4,6.1,8.0,6.2,6.8,2,2.1,0.03,0.03,0.02,0.02,0.0,6.9,43,106
395,Maximilian Wittek,Bochum,93.98,6.5,6.8,6.2,6.8,8.2,1,1.0,0.03,0.04,0.03,0.02,0.0,6.9,9,281
217,Gary Oliver Kelly,Leeds United,181.95,6.6,6.4,6.7,6.6,8.2,2,2.0,0.03,0.03,0.02,0.02,0.0,6.9,2,44
224,Giovanni Di Lorenzo,Italy,180.97,6.9,6.8,7.1,6.9,6.7,2,2.0,0.04,0.04,0.03,0.03,0.0,6.88,55,282
411,Miloš Degenek,Australia,178.93,6.8,6.4,7.1,6.7,7.4,3,2.0,0.03,0.03,0.02,0.02,0.0,6.88,43,106
300,José Rodolfo Pires Ribeiro,Sampdoria,263.95,7.9,7.4,6.1,5.6,7.4,3,2.9,0.03,0.03,0.02,0.02,0.0,6.88,12,27
