player,team,season_id,finishing_quality,chance_creation,ball_progression,one_v_one,off_ball_movement,defensive_contribution,cluster_profile,relative_finishing_quality,relative_chance_creation,relative_ball_progression,relative_one_v_one,relative_off_ball_movement,relative_defensive_contribution
Raphael Dias Belloli,Brazil,106,7.0,4.31,4.91,7.0,7.0,6.96,Traditional Winger,0.8033333333333337,-1.8866666666666667,-1.2866666666666662,0.8033333333333337,0.8033333333333337,0.7633333333333336
Raúl García Escudero,Athletic Club,4,7.0,4.0,5.37,7.0,7.0,7.0,Traditional Winger,0.7716666666666656,-2.2283333333333344,-0.8583333333333343,0.7716666666666656,0.7716666666666656,0.7716666666666656
Renaud Ripart,Troyes,108,7.0,4.0,5.05,7.0,7.0,7.76,Traditional Winger,0.6983333333333333,-2.3016666666666667,-1.251666666666667,0.6983333333333333,0.6983333333333333,1.458333333333333
Ricard Puig Martí,Barcelona,90,7.0,4.0,4.8,7.0,7.0,7.0,Traditional Winger,0.8666666666666671,-2.133333333333333,-1.333333333333333,0.8666666666666671,0.8666666666666671,0.8666666666666671
Ricardo Gabriel Álvarez,Sampdoria,27,7.0,4.1,5.04,7.0,7.0,7.33,Traditional Winger,0.7549999999999999,-2.1450000000000005,-1.205,0.7549999999999999,0.7549999999999999,1.085
Ricardo Jorge Luz Horta,Portugal,106,7.0,4.89,4.83,7.0,7.0,7.0,Traditional Winger,0.7133333333333338,-1.3966666666666665,-1.456666666666666,0.7133333333333338,0.7133333333333338,0.7133333333333338
Ricardo Kishna,Lazio,27,7.0,4.68,5.1,7.0,7.0,7.26,Traditional Winger,0.6600000000000001,-1.6600000000000001,-1.2400000000000002,0.6600000000000001,0.6600000000000001,0.9199999999999999
Riccardo Meggiorini,Chievo,27,7.0,5.68,5.55,7.0,7.0,7.38,Traditional Winger,0.39833333333333254,-0.9216666666666677,-1.0516666666666676,0.39833333333333254,0.39833333333333254,0.7783333333333324
Riccardo Saponara,Empoli,27,7.0,4.2,4.96,7.0,7.0,7.16,Traditional Winger,0.7800000000000002,-2.0199999999999996,-1.2599999999999998,0.7800000000000002,0.7800000000000002,0.9400000000000004
Riley McGree,Australia,106,7.0,4.21,4.65,7.0,7.0,7.44,Traditional Winger,0.7833333333333341,-2.006666666666666,-1.5666666666666655,0.7833333333333341,0.7833333333333341,1.2233333333333345
Ritsu Doan,Japan,106,7.0,5.01,4.98,7.0,7.0,7.16,Traditional Winger,0.6416666666666657,-1.3483333333333345,-1.3783333333333339,0.6416666666666657,0.6416666666666657,0.8016666666666659
Robert Pirès,Arsenal,44,7.0,4.0,5.34,7.0,7.0,7.56,Traditional Winger,0.6833333333333336,-2.3166666666666664,-0.9766666666666666,0.6833333333333336,0.6833333333333336,1.2433333333333332
Roberto Maximiliano Pereyra,Juventus,27,7.0,4.21,4.89,7.0,7.0,7.36,Traditional Winger,0.7566666666666668,-2.033333333333333,-1.3533333333333335,0.7566666666666668,0.7566666666666668,1.1166666666666671
