midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Yuri Berchiche Izeta,181,3.58,3.47,9.07,5.07,2,Athletic Club,11,4,90.5,2.0,5.2975
Xaver Schlager,173,5.67,3.95,7.15,4.41,2,RB Leipzig,9,281,86.5,1.9,5.295000000000001
Florian Grillitsch,196,6.85,6.9,2.73,4.7,4,Austria,55,282,49.0,2.2,5.295
Anthony Daniel Contreras Enríquez,58,2.09,7.13,9.89,2.07,1,Costa Rica,43,106,58.0,0.6,5.295
Jordan Veretout,170,5.72,3.06,7.52,4.88,2,Marseille,7,235,85.0,1.9,5.294999999999999
Kingsley Coman,50,0.36,9.33,9.41,2.07,1,France,43,106,50.0,0.6,5.2925
Brett Emerton,180,2.25,6.84,6.99,5.09,2,Blackburn Rovers,2,44,90.0,2.0,5.2924999999999995
Omar Haktab Traorè,91,5.65,6.26,3.79,5.43,1,FC Heidenheim,9,281,91.0,1.0,5.2825
Uroš Đurđević,37,0.67,8.8,9.57,2.07,1,Palermo,12,27,37.0,0.4,5.2775
Cheick Oumar Doucoure,174,4.78,6.3,3.74,6.28,2,Lens,7,108,87.0,1.9,5.275
George Boateng,181,6.18,4.73,5.45,4.74,2,Middlesbrough,2,44,90.5,2.0,5.275
Gareth Barry,176,2.43,3.13,8.19,7.35,2,Aston Villa,2,44,88.0,2.0,5.275
Peter Whittingham,180,5.29,1.84,9.12,4.81,2,Aston Villa,2,44,90.0,2.0,5.265
Sergio Gómez Martín,32,7.11,4.17,2.1,7.66,1,Huesca,11,90,32.0,0.4,5.26
Lucas Neill,91,4.16,4.69,6.94,5.23,1,Blackburn Rovers,2,44,91.0,1.0,5.255000000000001
Michael Duberry,91,2.03,7.7,9.22,2.07,1,Leeds United,2,44,91.0,1.0,5.255000000000001
Zuriko Davitashvili,51,7.44,2.63,8.88,2.07,2,Georgia,55,282,25.5,0.6,5.255000000000001
Fabian Holland,158,5.74,2.4,6.84,6.04,2,Darmstadt 98,9,281,79.0,1.8,5.255
Atakan Karazor,184,6.04,0.85,6.44,7.68,2,VfB Stuttgart,9,281,92.0,2.0,5.2524999999999995
Giulio Migliaccio,548,6.77,2.6,6.81,4.83,18,Atalanta,12,27,30.4,6.1,5.2524999999999995
Óscar Plano Pedreño,140,2.37,5.55,7.04,6.04,2,Real Valladolid,11,42,70.0,1.6,5.25
Anuar Mohamed Tuhami,186,4.61,7.05,7.25,2.07,2,Real Valladolid,11,4,93.0,2.1,5.245
Víctor Sánchez Mata,77,6.14,3.35,9.39,2.07,1,Espanyol,11,4,77.0,0.9,5.237500000000001
Marc Roca Junqué,188,7.22,2.56,9.09,2.07,2,Espanyol,11,4,94.0,2.1,5.234999999999999
Orel Mangala,134,5.57,4.14,6.68,4.54,4,Belgium,55,282,33.5,1.5,5.2325
Patrick Wimmer,48,3.24,6.42,2.5,8.76,1,Austria,55,282,48.0,0.5,5.23
Mohamed Ali Ben Romdhane,70,0.69,8.63,9.46,2.07,1,Tunisia,43,106,70.0,0.8,5.2125
Francisco Román Alarcón Suárez,157,5.55,4.9,3.45,6.94,2,Real Madrid,11,42,78.5,1.7,5.21
Nathanaël Mbuku,55,4.57,9.45,4.74,2.07,1,Stade de Reims,7,108,55.0,0.6,5.2075
Abdelhamid Sabiri,185,6.61,3.63,1.09,9.49,5,Morocco,43,106,37.0,2.1,5.205
Mohamed Camara,72,5.77,6.03,6.92,2.07,1,AS Monaco,7,235,72.0,0.8,5.1975
Júnior Wakalibille Lago,47,7.44,7.94,3.32,2.07,1,Mallorca,11,42,47.0,0.5,5.1925
Idrissa Doumbia,85,5.53,4.26,3.15,7.81,2,Huesca,11,90,42.5,0.9,5.1875
Angel Gomes,175,6.1,1.92,8.53,4.19,2,Lille,7,235,87.5,1.9,5.185
Diego Ángel Capel Trinidad,194,3.94,6.8,5.55,4.45,6,Genoa,12,27,32.3,2.2,5.185
Benjamin Bourigeaud,95,5.37,1.83,7.82,5.7,1,Rennes,7,235,95.0,1.1,5.18
Morten Hjulmand,244,9.14,2.49,3.01,6.06,3,Denmark,55,282,81.3,2.7,5.175
"Gérémi Sorele N""Djitap Fotso",149,4.4,4.63,3.46,8.19,2,Chelsea,2,44,74.5,1.7,5.17
Adrián Marín Gómez,19,7.11,7.94,3.55,2.07,1,Deportivo Alavés,11,4,19.0,0.2,5.1675
Rodrygo Silva de Goes,193,4.28,6.98,2.61,6.76,5,Brazil,43,106,38.6,2.1,5.157500000000001
Guillermo Varela Olivera,8,8.43,9.61,0.52,2.07,1,Uruguay,43,106,8.0,0.1,5.1575
Alberto Gilardino,40,2.81,5.26,2.63,9.9,1,Palermo,12,27,40.0,0.4,5.15
Nemanja Maksimović,183,3.56,6.11,8.85,2.07,2,Getafe,11,4,91.5,2.0,5.1475
Aleix Vidal Parreu,83,4.89,6.26,3.32,6.11,1,Deportivo Alavés,11,42,83.0,0.9,5.145
Mykola Shaparenko,222,7.88,5.89,1.36,5.44,3,Ukraine,55,282,74.0,2.5,5.1425
Hugo Larsson,97,8.07,1.82,8.6,2.07,2,Eintracht Frankfurt,9,281,48.5,1.1,5.140000000000001
Orbelín Pineda Alvarado,76,5.56,3.11,4.63,7.25,1,Mexico,43,106,76.0,0.8,5.1375
Unai López Cabrera,56,5.67,2.54,5.27,7.05,1,Athletic Club,11,42,56.0,0.6,5.1325
Jérémie Aliadière,27,1.44,5.73,3.74,9.61,2,Arsenal,2,44,13.5,0.3,5.13
Marcos Paulo Mesquita Lopes,88,5.33,2.31,3.32,9.54,1,Troyes,7,235,88.0,1.0,5.125
Rubén Rochina Naixes,150,5.2,5.14,5.74,4.42,2,Levante UD,11,4,75.0,1.7,5.125
Boško Janković,328,3.38,9.35,3.48,4.28,6,Hellas Verona,12,27,54.7,3.6,5.1225000000000005
Nick Barmby,17,0.67,7.94,9.8,2.07,1,Leeds United,2,44,17.0,0.2,5.120000000000001
Carlos Armando Gruezo Arboleda,49,5.9,4.01,8.5,2.07,1,Ecuador,43,106,49.0,0.5,5.12
Alejandro Fernández Iglesias,125,1.89,4.81,9.11,4.66,2,Cádiz,11,90,62.5,1.4,5.1175
Marcus Coco,27,0.93,8.53,2.91,8.09,2,Nantes,7,235,13.5,0.3,5.115
Sorba Thomas,5,5.9,7.94,4.54,2.07,1,Wales,43,106,5.0,0.1,5.1125
Mikel Merino Zazón,195,3.96,3.82,6.28,6.39,6,Spain,55,282,32.5,2.2,5.1125
Joe Allen,102,7.75,2.09,5.33,5.27,2,Wales,43,106,51.0,1.1,5.109999999999999
Laurent Abergel,182,5.23,3.86,6.12,5.22,2,Lorient,7,108,91.0,2.0,5.1075
Pablo Paulino Rosario,91,7.44,1.94,3.38,7.66,1,OGC Nice,7,108,91.0,1.0,5.105
Lucas Tousart,89,4.17,5.01,9.1,2.07,1,Union Berlin,9,281,89.0,1.0,5.0875
Stan Lazaridis,168,1.48,9.71,2.47,6.68,2,Birmingham City,2,44,84.0,1.9,5.085000000000001
Joan Jordán Moreno,183,5.32,2.68,3.58,8.73,2,Eibar,11,4,91.5,2.0,5.077500000000001
Aleksandr Golovin,63,1.77,9.77,2.17,6.6,1,AS Monaco,7,235,63.0,0.7,5.0775
Dominik Kohr,69,7.85,2.21,8.18,2.07,1,FSV Mainz 05,9,281,69.0,0.8,5.0775
Callum McGregor,254,9.88,0.85,3.94,5.61,3,Scotland,55,282,84.7,2.8,5.07
Florian Sotoca,81,5.48,0.85,7.53,6.41,1,Lens,7,108,81.0,0.9,5.0675
Lucas Da Cunha,21,4.35,4.01,2.58,9.33,1,Clermont Foot,7,108,21.0,0.2,5.0675
Jhegson Sebastián Méndez Carabalí,186,6.75,0.85,7.93,4.74,2,Ecuador,43,106,93.0,2.1,5.0675
Billy McKinlay,148,5.36,1.84,7.13,5.92,2,Leicester City,2,44,74.0,1.6,5.0625
Víctor Campuzano Bonilla,20,2.81,9.97,5.38,2.07,1,Espanyol,11,42,20.0,0.2,5.0575
Boubacar Kamara,166,7.06,1.9,6.72,4.54,2,Marseille,7,108,83.0,1.8,5.055
Dorival Guidoni Júnior,152,4.39,3.84,6.05,5.92,2,Middlesbrough,2,44,76.0,1.7,5.050000000000001
Kevin Strootman,194,5.41,1.96,8.42,4.4,5,AS Roma,12,27,38.8,2.2,5.047499999999999
Malcom Filipe Silva de Oliveira,87,2.11,9.14,2.99,5.94,5,Barcelona,11,4,17.4,1.0,5.045
Maxime Gonalons,153,7.44,3.08,7.59,2.07,2,Clermont Foot,7,235,76.5,1.7,5.045
Nigel de Jong,380,9.2,1.71,4.56,4.68,5,AC Milan,12,27,76.0,4.2,5.0375
Luis Fernando Muriel Fruto,146,3.25,5.81,4.04,7.05,6,Sampdoria,12,27,24.3,1.6,5.0375
Mattia Zaccagni,44,5.9,2.71,3.58,7.95,1,Italy,55,282,44.0,0.5,5.035
Antonio Nocerino,68,5.48,4.52,1.67,8.46,2,AC Milan,12,27,34.0,0.8,5.032500000000001
Lee Clark,89,4.87,7.65,1.5,6.11,1,Fulham,2,44,89.0,1.0,5.0325
Marcos Alonso Mendoza,91,2.06,6.42,4.05,7.57,1,Fiorentina,12,27,91.0,1.0,5.025
Nwankwo Christian Kanu,101,3.95,3.66,4.59,7.89,4,Arsenal,2,44,25.2,1.1,5.0225
Manuel Alejandro García Sánchez,149,6.76,1.81,5.74,5.78,2,Deportivo Alavés,11,42,74.5,1.7,5.0225
Romain Hamouma,35,4.09,6.14,2.2,7.66,1,Saint-Étienne,7,108,35.0,0.4,5.0225
Jae-Sung Lee,143,7.18,5.67,1.56,5.67,2,South Korea,43,106,71.5,1.6,5.02
Jermaine Jenas,179,5.5,0.85,9.23,4.49,2,Newcastle United,2,44,89.5,2.0,5.0175
Antonín Barák,46,1.06,2.71,7.81,8.46,3,Czech Republic,55,282,15.3,0.5,5.01
Héctor Miguel Herrera López,166,5.76,2.35,6.98,4.94,2,Mexico,43,106,83.0,1.8,5.0075
Riley McGree,127,5.9,2.01,3.59,8.53,2,Australia,43,106,63.5,1.4,5.0075
Yeltsin Ignacio Tejeda Valverde,274,8.97,2.46,4.35,4.24,3,Costa Rica,43,106,91.3,3.0,5.005
Ander Guevara Lajo,183,6.86,5.6,2.42,5.13,2,Real Sociedad,11,42,91.5,2.0,5.0025
Jesús Navas González,92,5.78,7.31,1.38,5.53,1,Sevilla,11,4,92.0,1.0,5.0
Dion Lopy,105,7.99,2.87,7.03,2.07,2,Stade de Reims,7,108,52.5,1.2,4.99
Barış Alper Yılmaz,94,2.81,6.42,8.64,2.07,1,Turkey,55,282,94.0,1.0,4.985
Enzo Millot,138,5.78,2.24,6.85,5.06,2,VfB Stuttgart,9,281,69.0,1.5,4.9825
Anthony Losilla,145,6.92,0.85,6.96,5.2,2,Bochum,9,281,72.5,1.6,4.9825
Steven Zuber,72,7.72,3.42,3.0,5.78,2,Switzerland,55,282,36.0,0.8,4.98
Agustín Canobbio Graviz,15,6.66,7.94,3.2,2.07,1,Uruguay,43,106,15.0,0.2,4.9675
Lucas Radebe,71,8.43,2.54,6.8,2.07,1,Leeds United,2,44,71.0,0.8,4.96
Denis Suárez Fernández,185,4.76,3.94,5.62,5.52,2,Celta Vigo,11,90,92.5,2.1,4.96
Ángel Fabián Di María Hernández,201,5.39,3.68,6.24,4.5,3,Paris Saint-Germain,7,108,67.0,2.2,4.952500000000001
Valentin Rongier,185,7.81,3.29,3.67,5.0,2,Marseille,7,235,92.5,2.1,4.9425
Johan Gastien,173,6.61,2.17,6.76,4.21,2,Clermont Foot,7,235,86.5,1.9,4.9375
Trevor Sinclair,186,4.04,3.9,4.48,7.32,2,Manchester City,2,44,93.0,2.1,4.9350000000000005
Alejandro Blanco Sánchez,48,0.67,7.94,1.65,9.47,1,Valencia,11,90,48.0,0.5,4.932500000000001
Sami Khalil Al Naji,53,4.7,3.19,3.89,7.95,1,Saudi Arabia,43,106,53.0,0.6,4.9325
Harry Wilson,147,4.46,3.8,3.11,8.36,2,Wales,43,106,73.5,1.6,4.932499999999999
Emre Can,156,6.66,3.76,2.96,6.33,2,Borussia Dortmund,9,281,78.0,1.7,4.9275
Sean Davis,177,3.85,4.19,6.09,5.58,2,Fulham,2,44,88.5,2.0,4.9275
Jon Moncayola Tollar,178,7.07,6.26,1.93,4.43,2,Osasuna,11,90,89.0,2.0,4.922499999999999
Florian Neuhaus,143,3.41,3.0,5.87,7.4,2,Borussia Mönchengladbach,9,281,71.5,1.6,4.92
Paul Brooker,10,2.81,9.61,5.18,2.07,1,Leicester City,2,44,10.0,0.1,4.9175
Manuel Pasqual,18,5.25,0.85,4.19,9.36,1,Fiorentina,12,27,18.0,0.2,4.9125
Timo Werner,61,1.06,7.58,1.23,9.73,1,RB Leipzig,9,281,61.0,0.7,4.9
Mario Pašalić,31,8.43,2.97,6.13,2.07,2,Croatia,43,106,15.5,0.3,4.9
Kenneth McLean,47,6.66,6.03,4.83,2.07,3,Scotland,55,282,15.7,0.5,4.897500000000001
Uroš Račić,166,5.55,4.7,7.27,2.07,2,Valencia,11,90,83.0,1.8,4.8975
Rafael Alcântara do Nascimento,106,7.99,1.88,7.64,2.07,3,Barcelona,11,4,35.3,1.2,4.8950000000000005
Zaydou Youssouf,103,6.66,6.07,4.75,2.07,2,Saint-Étienne,7,108,51.5,1.1,4.8875
Carlos Arturo Bacca Ahumada,26,5.25,8.8,3.42,2.07,1,Villarreal,11,4,26.0,0.3,4.885
Aleix Febas Pérez,92,6.39,3.04,3.87,6.24,1,Mallorca,11,42,92.0,1.0,4.885
Maximilian Arnold,181,6.49,2.26,4.82,5.95,2,Wolfsburg,9,281,90.5,2.0,4.88
Mohammed Kudus,169,3.65,6.52,7.22,2.07,2,Ghana,43,106,84.5,1.9,4.865
Bartosz Slisz,111,3.91,5.62,4.98,4.94,2,Poland,55,282,55.5,1.2,4.862500000000001
Steven Gerrard,183,3.61,4.72,5.61,5.5,2,Liverpool,2,44,91.5,2.0,4.86
Frederico Rodrigues Santos,143,6.73,1.86,3.63,7.22,4,Brazil,43,106,35.8,1.6,4.859999999999999
Arne Engels,63,5.0,5.01,7.35,2.07,2,Augsburg,9,281,31.5,0.7,4.8575
Morgan Schneiderlin,114,8.25,1.75,1.6,7.81,2,OGC Nice,7,108,57.0,1.3,4.8525
Amadou Salif Mbengue,34,2.81,9.88,4.63,2.07,1,Metz,7,108,34.0,0.4,4.8475
Vicente Iborra De La Fuente,139,6.56,1.93,6.72,4.18,2,Villarreal,11,42,69.5,1.5,4.8475
Antony Matheus dos Santos,87,4.32,5.98,4.13,4.94,2,Brazil,43,106,43.5,1.0,4.8425
Silas Katompa Mvumpa,29,5.9,6.76,4.63,2.07,1,VfB Stuttgart,9,281,29.0,0.3,4.84
Massimo Gobbi,124,2.36,6.96,7.97,2.07,3,Chievo,12,27,41.3,1.4,4.84
Moses Daddy-Ajala Simon,45,0.83,7.94,8.5,2.07,1,Levante UD,11,4,45.0,0.5,4.835
Jakub Błaszczykowski,138,1.27,4.91,6.04,7.12,3,Fiorentina,12,27,46.0,1.5,4.835
Martin Terrier,85,1.86,5.61,9.78,2.07,1,Rennes,7,108,85.0,0.9,4.83
Tim Skarke,128,2.35,8.65,1.9,6.41,2,Darmstadt 98,9,281,64.0,1.4,4.827500000000001
Francisco Fernandes Conceição,138,1.3,6.03,4.96,7.01,3,Portugal,55,282,46.0,1.5,4.824999999999999
Óscar Melendo Jiménez,72,8.43,0.85,0.52,9.47,1,Espanyol,11,42,72.0,0.8,4.8175
Marcelo Alejandro Estigarribia Balmori,7,2.81,8.8,5.56,2.07,1,Atalanta,12,27,7.0,0.1,4.8100000000000005
Christian Gabriel Oliva Giménez,16,3.87,0.85,5.41,9.11,1,Valencia,11,90,16.0,0.2,4.81
Joe Cole,42,2.81,4.61,9.73,2.07,2,Chelsea,2,44,21.0,0.5,4.805
Lee Hendrie,175,1.73,4.48,6.83,6.16,2,Aston Villa,2,44,87.5,1.9,4.800000000000001
Alessandro Matri,12,2.81,9.61,4.63,2.07,1,Lazio,12,27,12.0,0.1,4.78
Marcelo Vieira da Silva Júnior,20,2.81,8.8,5.43,2.07,1,Real Madrid,11,90,20.0,0.2,4.7775
Álvaro Borja Morata Martín,192,3.43,7.78,1.54,6.36,3,Juventus,12,27,64.0,2.1,4.7775
Augusto Jorge Mateo Solari,20,0.4,8.8,7.84,2.07,1,Celta Vigo,11,90,20.0,0.2,4.7775
Martin Adeline,34,5.9,6.42,4.68,2.07,1,Stade de Reims,7,108,34.0,0.4,4.7675
Tugay Kerimoğlu,182,4.97,2.59,7.16,4.34,2,Blackburn Rovers,2,44,91.0,2.0,4.765
Krystian Bielik,225,9.31,5.34,2.33,2.07,4,Poland,43,106,56.2,2.5,4.7625
Alejandro Berenguer Remiro,53,2.81,8.03,1.61,6.6,2,Athletic Club,11,90,26.5,0.6,4.762499999999999
Chang-Hoon Kwon,53,5.17,2.79,3.42,7.66,1,South Korea,43,106,53.0,0.6,4.76
Ferrán Torres García,91,4.35,3.61,4.74,6.33,1,Valencia,11,42,91.0,1.0,4.7575
Ismael Koné,118,7.9,4.46,2.32,4.3,3,Canada,43,106,39.3,1.3,4.745
Carlos Baleba,4,8.43,7.94,0.52,2.07,1,Lille,7,235,4.0,0.0,4.74
Amin Sarr,25,8.43,7.94,0.52,2.07,1,Wolfsburg,9,281,25.0,0.3,4.74
José Luis Morales Nogales,88,3.68,5.1,3.5,6.68,1,Levante UD,11,90,88.0,1.0,4.74
Corentin Tolisso,76,7.61,1.84,1.9,7.6,2,Lyon,7,235,38.0,0.8,4.737500000000001
Oihan Sancet Tirapu,77,2.12,3.35,4.71,8.76,1,Athletic Club,11,42,77.0,0.9,4.734999999999999
Amdy Moustapha Faye,183,1.69,2.72,9.2,5.31,2,Portsmouth,2,44,91.5,2.0,4.7299999999999995
Víctor Gómez Perea,61,6.66,3.04,1.26,7.95,1,Espanyol,11,42,61.0,0.7,4.7275
Randal Kolo Muani,28,3.59,9.38,3.86,2.07,1,France,55,282,28.0,0.3,4.7250000000000005
Otar Kiteishvili,131,7.64,0.85,5.6,4.81,2,Georgia,55,282,65.5,1.5,4.725
Richie Laryea,24,2.81,9.38,4.63,2.07,1,Canada,43,106,24.0,0.3,4.7225
Santiago Comesaña Veiga,90,5.74,4.69,2.54,5.92,1,Rayo Vallecano,11,4,90.0,1.0,4.7225
Kaan Ayhan,184,6.0,3.43,1.85,7.59,3,Turkey,55,282,61.3,2.0,4.717499999999999
Niklas Dorsch,180,7.37,2.67,4.32,4.49,2,Augsburg,9,281,90.0,2.0,4.7125
Muhammed Cham Saracevic,141,5.68,6.22,1.32,5.62,2,Clermont Foot,7,235,70.5,1.6,4.71
Yahia Attiyat allah,21,2.81,9.77,4.19,2.07,1,Morocco,43,106,21.0,0.2,4.71
Joey Barton,186,3.95,1.77,6.5,6.57,2,Manchester City,2,44,93.0,2.1,4.6975
Ianis Hagi,187,2.02,3.67,5.58,7.48,4,Romania,55,282,46.8,2.1,4.6875
Angelo Palombo,395,9.17,3.48,4.02,2.07,7,Sampdoria,12,27,56.4,4.4,4.6850000000000005
Jordi Alba Ramos,188,6.78,4.57,2.67,4.72,2,Barcelona,11,42,94.0,2.1,4.6850000000000005
Darko Brašanac,48,5.9,8.41,2.34,2.07,1,Deportivo Alavés,11,4,48.0,0.5,4.68
Yangel Clemente Herrera Ravelo,152,3.77,0.85,8.06,6.04,2,Granada,11,90,76.0,1.7,4.68
Keanu Baccus,127,3.33,8.9,4.4,2.07,4,Australia,43,106,31.8,1.4,4.675000000000001
Sepe Elye Wahi,76,0.83,6.14,9.64,2.07,1,Montpellier,7,235,76.0,0.8,4.67
Marshall Nyasha Munetsi,94,7.09,2.15,7.37,2.07,1,Stade de Reims,7,108,94.0,1.0,4.67
Callum Styles,59,3.35,2.87,3.27,9.16,1,Hungary,55,282,59.0,0.7,4.6625
Phil Neville,89,6.25,2.87,2.63,6.89,1,Manchester United,2,44,89.0,1.0,4.66
Przemysław Frankowski,246,4.32,4.11,5.64,4.56,4,Poland,43,106,61.5,2.7,4.6575
Mattias Svanberg,69,4.0,3.19,4.66,6.78,1,Wolfsburg,9,281,69.0,0.8,4.6575
Ajdin Hrustic,38,5.9,7.13,3.51,2.07,1,Australia,43,106,38.0,0.4,4.6525
Leander Dendoncker,69,7.92,2.97,2.04,5.67,1,Belgium,43,106,69.0,0.8,4.65
Joris Chotard,160,6.42,2.38,3.49,6.29,2,Montpellier,7,235,80.0,1.8,4.6450000000000005
Luca Sangalli Fuentes,49,4.05,3.53,8.93,2.07,2,Real Sociedad,11,4,24.5,0.5,4.645
Joaquín Fernández Moreno,139,6.99,2.04,3.76,5.78,2,Real Valladolid,11,42,69.5,1.5,4.6425
Jadon Sancho,67,7.58,5.94,2.93,2.07,1,Borussia Dortmund,9,281,67.0,0.7,4.63
Steven Berghuis,207,5.72,5.36,1.94,5.5,4,Netherlands,43,106,51.8,2.3,4.63
László Bénes,71,5.13,2.34,2.01,9.03,2,Slovakia,55,282,35.5,0.8,4.6274999999999995
Florent Mollet,76,7.8,6.76,1.87,2.07,1,Montpellier,7,108,76.0,0.8,4.625
Salif Alassane Diao,79,7.05,6.67,2.7,2.07,1,Liverpool,2,44,79.0,0.9,4.6225
Thiago Henrique Mendes Ribeiro,92,6.26,2.52,7.64,2.07,1,Lyon,7,235,92.0,1.0,4.6225
Azor Matusiwa,91,7.92,1.79,2.38,6.38,1,Stade de Reims,7,235,91.0,1.0,4.6175
Joan Verdú Fernández,118,4.52,4.25,7.61,2.07,3,Fiorentina,12,27,39.3,1.3,4.6125
Sergi Darder Moll,118,1.38,3.01,4.43,9.61,2,Espanyol,11,42,59.0,1.3,4.6075
Jan Kuchta,98,1.18,6.42,8.76,2.07,2,Czech Republic,55,282,49.0,1.1,4.6075
Gervais Lombe Yao Kouassi,94,2.81,8.8,4.67,2.07,1,AS Roma,12,27,94.0,1.0,4.5875
Davy Klaassen,195,4.71,0.85,7.31,5.46,4,Netherlands,43,106,48.8,2.2,4.5825
Sylvain Legwinski,181,5.1,2.91,4.57,5.75,2,Fulham,2,44,90.5,2.0,4.5825
Rodrigo Andrés Battaglia,181,4.63,2.1,9.45,2.07,2,Deportivo Alavés,11,90,90.5,2.0,4.5625
Gonzalo Julián Melero Manzanares,173,6.15,3.87,1.55,6.68,2,Levante UD,11,90,86.5,1.9,4.5625
Lilian Nalis,90,3.58,3.61,8.98,2.07,1,Leicester City,2,44,90.0,1.0,4.5600000000000005
Ryan Giggs,180,2.26,7.37,1.4,7.2,2,Manchester United,2,44,90.0,2.0,4.5575
Osman Bukari,72,2.09,3.73,5.15,7.25,2,Ghana,43,106,36.0,0.8,4.555
Václav Černý,54,3.49,4.01,4.15,6.53,1,Czech Republic,55,282,54.0,0.6,4.545
Luca Bittante,29,1.34,0.85,6.2,9.78,3,Empoli,12,27,9.7,0.3,4.5425
Yohann Magnin,91,7.64,0.85,1.22,8.46,1,Clermont Foot,7,108,91.0,1.0,4.5425
David Remeseiro Salgueiro,180,1.44,5.83,3.76,7.14,2,Levante UD,11,4,90.0,2.0,4.5424999999999995
Damian Szymański,27,8.43,7.13,0.52,2.07,1,Poland,43,106,27.0,0.3,4.5375
Radostin Kishishev,77,2.28,2.4,7.21,6.24,1,Charlton Athletic,2,44,77.0,0.9,4.532500000000001
Moussa Sissoko,80,1.44,7.8,6.81,2.07,1,Nantes,7,235,80.0,0.9,4.53
Gilberto Moraes Junior,69,1.26,6.87,7.92,2.07,3,Fiorentina,12,27,23.0,0.8,4.53
Seth Johnson,88,4.19,3.88,2.68,7.34,1,Leeds United,2,44,88.0,1.0,4.5225
Hichem Boudaoui,87,2.39,1.89,8.54,5.27,2,OGC Nice,7,108,43.5,1.0,4.5225
Martin Djetou,57,3.93,2.34,9.75,2.07,1,Fulham,2,44,57.0,0.6,4.5225
David Zurutuza Veillet,72,4.82,4.81,6.37,2.07,1,Real Sociedad,11,4,72.0,0.8,4.5175
Rubén Salvador Pérez Del Mármol,187,4.25,1.98,5.87,5.94,2,Leganés,11,42,93.5,2.1,4.510000000000001
Martín Zubimendi Ibáñez,143,3.78,2.85,6.74,4.67,4,Spain,55,282,35.8,1.6,4.51
Mikkel Damsgaard,85,5.37,3.08,1.27,8.32,2,Denmark,43,106,42.5,0.9,4.51
Junichi Inamoto,57,1.77,4.66,2.5,9.06,1,Fulham,2,44,57.0,0.6,4.4975000000000005
Jens-Lys Michel Cajuste,81,7.35,3.83,1.56,5.23,1,Stade de Reims,7,235,81.0,0.9,4.4925
Giorgian Daniel De Arrascaeta Benedetti,116,3.3,3.89,2.18,8.59,2,Uruguay,43,106,58.0,1.3,4.49
Oghenekaro Etebo,65,0.67,6.42,8.8,2.07,1,Getafe,11,42,65.0,0.7,4.49
Paul Telfer,172,2.41,3.71,7.02,4.81,2,Southampton,2,44,86.0,1.9,4.4875
Billy Gilmour,184,4.99,3.25,7.63,2.07,3,Scotland,55,282,61.3,2.0,4.485
Filippo Falco,79,3.54,4.85,2.82,6.72,4,Bologna,12,27,19.8,0.9,4.4825
Vladimir Smicer,40,0.67,7.13,0.52,9.61,1,Liverpool,2,44,40.0,0.4,4.4825
Mohamed Salim Fares,156,3.24,6.57,2.86,5.25,5,Hellas Verona,12,27,31.2,1.7,4.48
Fabrizio Cacciatore,206,5.76,2.5,5.51,4.15,4,Chievo,12,27,51.5,2.3,4.48
José Raúl Gutiérrez Parejo,92,7.0,3.73,5.11,2.07,1,Elche,11,90,92.0,1.0,4.4775
Anton Stach,186,5.04,6.12,2.45,4.3,2,Hoffenheim,9,281,93.0,2.1,4.4775
Pol Lozano Vizuete,51,6.06,0.85,8.92,2.07,1,Espanyol,11,42,51.0,0.6,4.475
Marcus Thuram,93,1.52,7.38,1.59,7.4,1,France,55,282,93.0,1.0,4.4725
José Luis García del Pozo,92,4.01,2.15,9.64,2.07,1,Leganés,11,4,92.0,1.0,4.4675
Oleksandr Zubkov,27,5.25,0.85,9.68,2.07,1,Ukraine,55,282,27.0,0.3,4.4624999999999995
Salvador Sevilla López,139,6.5,2.25,2.89,6.2,2,Mallorca,11,42,69.5,1.5,4.46
Okay Yokuşlu,63,6.24,5.56,3.97,2.07,3,Turkey,55,282,21.0,0.7,4.46
Lisandro Martínez,39,8.43,6.76,0.52,2.07,1,Argentina,43,106,39.0,0.4,4.444999999999999
Hugo Ekitike,182,1.86,4.24,6.52,5.15,5,Paris Saint-Germain,7,235,36.4,2.0,4.442500000000001
Jordan Ayew,22,2.81,3.73,2.04,9.16,1,Ghana,43,106,22.0,0.2,4.4350000000000005
Mark Kennedy,178,1.41,7.61,2.06,6.65,2,Wolverhampton Wanderers,2,44,89.0,2.0,4.4325
Mauro Emanuel Icardi Rivero,11,0.49,9.88,5.29,2.07,1,Paris Saint-Germain,7,108,11.0,0.1,4.4325
Thomas Hitzlsperger,89,5.51,3.42,3.13,5.67,1,Aston Villa,2,44,89.0,1.0,4.432499999999999
Kamory Doumbia,20,5.46,4.01,0.52,7.74,1,Stade de Reims,7,235,20.0,0.2,4.432499999999999
Stefano Sabelli,120,0.75,5.88,9.02,2.07,2,Carpi,12,27,60.0,1.3,4.43
Nathan Tella,184,2.21,5.66,1.79,8.05,3,Bayer Leverkusen,9,281,61.3,2.0,4.4275
Mark Pembridge,66,3.29,0.85,5.1,8.46,1,Everton,2,44,66.0,0.7,4.425
Memphis Depay,180,4.91,2.74,1.76,8.29,2,Netherlands,55,282,90.0,2.0,4.425
Philip Foden,25,3.71,5.52,0.52,7.95,1,England,43,106,25.0,0.3,4.425
Claudio Reyna,75,2.42,6.61,2.5,6.16,1,Manchester City,2,44,75.0,0.8,4.4225
