midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Gilberto Aparecido da Silva,2535,8.81,4.12,6.46,4.78,31,Arsenal,2,44,81.8,28.2,6.0425
Leandro Trossard,87,6.22,6.33,3.23,8.39,2,Belgium,43,106,43.5,1.0,6.0425
Romano Schmid,171,4.43,6.94,7.4,5.39,2,Werder Bremen,9,281,85.5,1.9,6.040000000000001
Silvan Widmer,181,3.23,8.11,6.2,6.62,2,Udinese,12,27,90.5,2.0,6.04
Ivane Chegra,24,0.93,9.95,3.42,9.85,1,AC Ajaccio,7,235,24.0,0.3,6.0375
Kevin Nolan,149,3.96,5.01,9.4,5.78,2,Bolton Wanderers,2,44,74.5,1.7,6.0375
Fabio Torsiello,25,6.52,5.73,9.82,2.07,1,Darmstadt 98,9,281,25.0,0.3,6.035
Jamie Leweling,102,3.84,6.14,4.33,9.79,2,VfB Stuttgart,9,281,51.0,1.1,6.025
Florinel Teodor Coman,118,1.44,5.1,8.94,8.6,2,Romania,55,282,59.0,1.3,6.02
Carlos Emilio Carmona Tello,477,9.5,3.45,5.59,5.54,8,Atalanta,12,27,59.6,5.3,6.02
Luka Jović,78,4.94,0.85,8.66,9.61,2,Serbia,55,282,39.0,0.9,6.015
Anders Svensson,26,8.43,4.81,8.74,2.07,1,Southampton,2,44,26.0,0.3,6.012499999999999
Han-Noah Massengo,94,8.08,2.97,7.72,5.27,1,Auxerre,7,235,94.0,1.0,6.01
Domenico Berardi,432,5.21,6.62,5.83,6.37,6,Sassuolo,12,27,72.0,4.8,6.0075
Wataru Endo,317,6.5,2.84,8.18,6.51,4,Japan,43,106,79.2,3.5,6.0075
Khéphren Thuram-Ulien,123,6.87,8.01,3.13,6.0,2,OGC Nice,7,235,61.5,1.4,6.0024999999999995
Jesper Grønkjær,55,7.44,8.8,5.69,2.07,2,Chelsea,2,44,27.5,0.6,6.000000000000001
Manuel Morlanes Ariño,62,7.53,2.4,8.5,5.57,1,Villarreal,11,4,62.0,0.7,6.0
Hugo Magnetti,126,5.61,2.93,8.59,6.85,2,Stade Brestois,7,235,63.0,1.4,5.995000000000001
David Batty,92,5.05,2.33,9.2,7.4,1,Leeds United,2,44,92.0,1.0,5.994999999999999
Enis Bardhi,118,4.65,9.18,5.81,4.32,2,Levante UD,11,4,59.0,1.3,5.99
Brais Méndez Portela,91,4.48,4.08,9.43,5.92,1,Celta Vigo,11,4,91.0,1.0,5.977500000000001
Ander Herrera Agüera,301,9.82,2.43,5.96,5.69,7,Paris Saint-Germain,7,108,43.0,3.3,5.9750000000000005
Jan-Niklas Beste,74,0.73,6.86,8.77,7.52,1,FC Heidenheim,9,281,74.0,0.8,5.97
Marvin Mehlem,94,6.46,3.48,6.97,6.97,2,Darmstadt 98,9,281,47.0,1.0,5.97
In-Beom Hwang,353,9.29,3.12,6.4,5.06,4,South Korea,43,106,88.2,3.9,5.9675
Muhammed Kerem Aktürkoğlu,16,2.81,5.73,5.44,9.85,1,Turkey,55,282,16.0,0.2,5.9575
Yann Bodiger,85,2.81,9.08,9.87,2.07,1,Cádiz,11,90,85.0,0.9,5.9575
Romain Del Castillo,74,4.8,9.44,2.39,7.17,1,Stade Brestois,7,235,74.0,0.8,5.949999999999999
Moisés Isaac Caicedo Corozo,278,8.64,4.94,8.14,2.07,3,Ecuador,43,106,92.7,3.1,5.947500000000001
Jonathan Bamba,169,5.02,8.48,3.39,6.89,2,Lille,7,108,84.5,1.9,5.945
Benjamin André,153,6.13,2.69,9.38,5.56,2,Lille,7,235,76.5,1.7,5.94
Edon Zhegrova,31,2.81,9.12,9.76,2.07,1,Lille,7,235,31.0,0.3,5.9399999999999995
