midfielder,team,season_id,pass_control,ball_progression,defensive_contribution,creative_output,cluster_profile,relative_pass_control,relative_ball_progression,relative_defensive_contribution,relative_creative_output
Leandro Barreiro Martins,FSV Mainz 05,281,4.41,2.47,2.69,2.07,Advanced Playmaker,1.5,-0.43999999999999995,-0.2200000000000002,-0.8400000000000003
Leandro Daniel Paredes,Empoli,27,8.96,4.5,7.88,6.86,Advanced Playmaker,1.910000000000001,-2.55,0.8300000000000001,-0.1899999999999995
Leandro Greco,Hellas Verona,27,9.12,6.57,8.21,6.7,Advanced Playmaker,1.4699999999999998,-1.0799999999999992,0.5600000000000014,-0.9499999999999993
Lenny Joseph,Metz,108,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Leonardo Bittencourt,Werder Bremen,281,6.16,4.53,2.52,4.42,Advanced Playmaker,1.7524999999999995,0.12249999999999961,-1.8875000000000006,0.01249999999999929
Lisandro Martínez,Argentina,106,8.43,6.76,0.52,2.07,Advanced Playmaker,3.9850000000000003,2.3150000000000004,-3.9249999999999994,-2.3749999999999996
Ljubomir Fejsa,Deportivo Alavés,42,8.43,0.85,0.52,2.07,Advanced Playmaker,5.4625,-2.1174999999999997,-2.4475,-0.8975
Lohann Doucet,Nantes,235,6.66,0.85,4.85,2.07,Advanced Playmaker,3.0525,-2.7575,1.2424999999999997,-1.5375
Lorenzo Crisetig,Bologna,27,9.21,7.28,5.73,4.47,Advanced Playmaker,2.5375000000000005,0.6074999999999999,-0.9424999999999999,-2.2025000000000006
Lorenzo Insigne,Napoli,27,8.25,5.59,5.72,8.58,Advanced Playmaker,1.2149999999999999,-1.4450000000000003,-1.3150000000000004,1.545
Lorenzo Jesús Morón García,Real Betis,4,8.43,0.85,4.19,2.07,Advanced Playmaker,4.545,-3.0349999999999997,0.3050000000000006,-1.815
Lorenzo Lollo,Carpi,27,7.86,6.31,7.76,5.54,Advanced Playmaker,0.9925000000000006,-0.5575000000000001,0.8925000000000001,-1.3274999999999997
Lorenzo Pellegrini,Sassuolo,27,8.74,6.79,6.53,7.87,Advanced Playmaker,1.2574999999999994,-0.6925000000000008,-0.9525000000000006,0.3874999999999993
Luca Checchin,Hellas Verona,27,5.04,5.13,4.83,2.07,Advanced Playmaker,0.7725,0.8624999999999998,0.5625,-2.1975000000000002
Luca Cigarini,Atalanta,27,8.86,4.76,8.26,7.2,Advanced Playmaker,1.5899999999999999,-2.51,0.9900000000000002,-0.0699999999999994
Luca Marrone,Carpi,27,9.21,4.27,8.27,7.37,Advanced Playmaker,1.9300000000000006,-3.0100000000000007,0.9899999999999993,0.08999999999999986
Luca Rigoni,Palermo,27,8.64,3.79,8.09,6.95,Advanced Playmaker,1.7725000000000009,-3.0774999999999997,1.2225000000000001,0.08250000000000046
Luca Rizzo,Bologna,27,8.57,9.29,6.61,7.72,Advanced Playmaker,0.5225000000000009,1.2424999999999997,-1.4374999999999991,-0.3274999999999997
Lucas Nahuel Castro,Chievo,27,8.04,6.66,7.96,6.93,Advanced Playmaker,0.6424999999999992,-0.7374999999999998,0.5625,-0.46750000000000025
Lucas Radebe,Leeds United,44,8.43,2.54,6.8,2.07,Advanced Playmaker,3.4699999999999998,-2.42,1.8399999999999999,-2.89
Lucas Rodrigo Biglia,Lazio,27,9.45,5.61,7.99,7.21,Advanced Playmaker,1.8849999999999998,-1.9549999999999992,0.4250000000000007,-0.35499999999999954
Lucas Torró Marset,Osasuna,90,7.97,2.31,1.77,2.07,Advanced Playmaker,4.4399999999999995,-1.2199999999999998,-1.7599999999999998,-1.46
Luigi Giorgi,Atalanta,27,7.97,3.35,4.54,8.46,Advanced Playmaker,1.8899999999999997,-2.73,-1.54,2.380000000000001
Luka Modrić,Croatia,106,9.55,6.96,7.03,5.34,Advanced Playmaker,2.33,-0.2600000000000007,-0.1900000000000004,-1.8800000000000008
Lukáš Provod,Czech Republic,282,8.9,8.99,5.92,7.59,Advanced Playmaker,1.0499999999999998,1.1399999999999997,-1.9300000000000006,-0.2600000000000007
Mahdi Camara,Saint-Étienne,108,6.72,3.31,3.08,2.07,Advanced Playmaker,2.925,-0.4849999999999999,-0.7149999999999999,-1.725
Mahmoud Dahoud,VfB Stuttgart,281,4.35,0.85,2.15,2.07,Advanced Playmaker,1.9949999999999997,-1.505,-0.20500000000000007,-0.28500000000000014
Mahmut Kücüksahin,Augsburg,281,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Maksym Talovierov,Ukraine,282,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Manuel Alejandro García Sánchez,Deportivo Alavés,42,6.76,1.81,5.74,5.78,Advanced Playmaker,1.7374999999999998,-3.2125,0.7175000000000002,0.7575000000000003
Manuel Locatelli,AC Milan,27,6.29,4.58,2.2,2.07,Advanced Playmaker,2.505,0.7949999999999999,-1.585,-1.7150000000000003
Manuel Trigueros Muñoz,Villarreal,90,5.44,1.78,2.22,2.07,Advanced Playmaker,2.5625,-1.0975000000000004,-0.6575000000000002,-0.8075000000000006
Marc Pedraza Sarto,Mallorca,42,2.05,0.85,1.7,2.07,Advanced Playmaker,0.38249999999999984,-0.8175,0.03249999999999997,0.40249999999999986
Marcel Büchel,Empoli,27,8.58,5.47,8.01,6.61,Advanced Playmaker,1.4124999999999996,-1.6975000000000007,0.8424999999999994,-0.5575000000000001
Marcelo Brozović,Inter Milan,27,9.2,5.68,8.11,7.15,Advanced Playmaker,1.6649999999999991,-1.8550000000000004,0.5749999999999993,-0.3849999999999998
Marco Antônio De Mattos Filho,Udinese,27,8.77,8.29,7.33,7.68,Advanced Playmaker,0.7524999999999995,0.2724999999999991,-0.6875,-0.33750000000000036
Marco Asensio Willemsen,Real Madrid,90,8.43,0.85,2.75,9.93,Advanced Playmaker,2.9399999999999995,-4.640000000000001,-2.74,4.4399999999999995
Marco Benassi,Torino,27,8.61,8.12,6.71,8.0,Advanced Playmaker,0.75,0.2599999999999998,-1.1499999999999995,0.14000000000000057
Marco Parolo,Lazio,27,8.82,3.91,6.22,7.18,Advanced Playmaker,2.2875000000000005,-2.6224999999999996,-0.3125,0.6475
Marco Verratti,Paris Saint-Germain,235,9.89,4.65,8.32,5.21,Advanced Playmaker,2.8725000000000005,-2.3674999999999997,1.3025000000000002,-1.8075
Marcos Aoás Corrêa,Paris Saint-Germain,235,8.43,0.85,0.52,2.07,Advanced Playmaker,5.4625,-2.1174999999999997,-2.4475,-0.8975
Marek Hamšík,Napoli,27,9.55,7.48,7.57,7.55,Advanced Playmaker,1.512500000000001,-0.5574999999999992,-0.46749999999999936,-0.4874999999999998
Mario Lemina,Juventus,27,9.57,5.92,7.39,4.52,Advanced Playmaker,2.7200000000000006,-0.9299999999999997,0.54,-2.33
Mario Pašalić,Croatia,106,8.43,2.97,6.13,2.07,Advanced Playmaker,3.5299999999999994,-1.9300000000000002,1.2299999999999995,-2.8300000000000005
Mario Suárez Mata,Fiorentina,27,9.94,5.13,6.67,4.14,Advanced Playmaker,3.469999999999999,-1.3400000000000007,0.1999999999999993,-2.330000000000001
Marius Mihai Marin,Romania,282,9.24,5.48,5.85,4.67,Advanced Playmaker,2.9299999999999997,-0.8300000000000001,-0.46000000000000085,-1.6400000000000006
Mark Anthony Kaye,Canada,106,5.17,2.58,2.12,2.07,Advanced Playmaker,2.1849999999999996,-0.40500000000000025,-0.8650000000000002,-0.9150000000000005
Mark Kinsella,Aston Villa,44,5.69,0.85,4.14,2.07,Advanced Playmaker,2.5025000000000004,-2.3375,0.9524999999999997,-1.1175000000000002
Mason Mount,England,106,7.2,2.81,1.41,4.26,Advanced Playmaker,3.2800000000000002,-1.1099999999999999,-2.51,0.33999999999999986
Mateo Kovačić,Croatia,106,9.82,7.41,7.43,6.81,Advanced Playmaker,1.9525000000000006,-0.4574999999999996,-0.4375,-1.0575
Mathias Pereira Lage,Stade Brestois,235,2.81,0.85,2.25,2.07,Advanced Playmaker,0.815,-1.145,0.2549999999999999,0.07499999999999973
Mathieu Coutadeur,AC Ajaccio,235,6.96,1.99,3.39,4.35,Advanced Playmaker,2.7875000000000005,-2.182499999999999,-0.7824999999999993,0.1775000000000002
Mato Jajalo,Palermo,27,8.98,4.96,5.7,5.91,Advanced Playmaker,2.5925000000000002,-1.4275000000000002,-0.6875,-0.47750000000000004
Matteo Brighi,Bologna,27,8.03,3.59,6.02,7.99,Advanced Playmaker,1.6224999999999987,-2.817500000000001,-0.38750000000000107,1.5824999999999996
Matthijs de Ligt,Bayern Munich,281,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Mattéo Guendouzi Olié,Marseille,108,7.74,5.4,7.75,2.07,Advanced Playmaker,2.0,-0.33999999999999986,2.01,-3.6700000000000004
Matuzalém Francelino da Silva,Hellas Verona,27,6.47,4.51,6.47,4.27,Advanced Playmaker,1.04,-0.9199999999999999,1.04,-1.1600000000000001
Matías Ariel Fernández Fernández,Fiorentina,27,9.03,8.16,6.61,7.33,Advanced Playmaker,1.2475000000000005,0.3775000000000013,-1.1724999999999985,-0.4524999999999988
Matías Vecino Falero,Fiorentina,27,9.64,5.84,8.01,6.07,Advanced Playmaker,2.25,-1.5500000000000007,0.6199999999999992,-1.3200000000000003
Maximilian Arnold,Wolfsburg,281,6.49,2.26,4.82,5.95,Advanced Playmaker,1.6100000000000003,-2.62,-0.05999999999999961,1.0700000000000003
Maximilian Wittek,Bochum,281,4.57,3.35,4.12,2.07,Advanced Playmaker,1.0425000000000004,-0.17749999999999977,0.5925000000000002,-1.4575
Maximiliano Nicol Moralez,Atalanta,27,8.7,5.59,8.11,8.59,Advanced Playmaker,0.9524999999999997,-2.1574999999999998,0.3624999999999998,0.8425000000000002
Michał Skóraś,Poland,106,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
