player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Tim Skarke,35,4.14,5.66,3.95,8.95,1.58,5.99,4.21,1,35.0,9,281
Lucas Pérez Martínez,138,4.11,1.52,6.96,4.68,5.7,4.05,4.37,2,69.0,11,42
Abdón Prats Bastidas,12,4.11,3.42,1.33,1.58,1.01,10.0,4.37,2,6.0,11,42
Miguel Ángel Guerrero Martín,70,4.11,8.29,3.67,1.58,3.8,1.27,4.37,1,70.0,11,42
Adrián López Álvarez,69,4.11,1.52,4.43,3.23,4.43,5.44,4.37,1,69.0,11,42
Víctor Machín Pérez,26,4.11,1.52,5.57,9.37,7.09,4.43,4.37,1,26.0,11,42
Aleix Febas Pérez,92,4.11,1.52,8.48,3.48,10.0,9.62,4.37,1,92.0,11,42
Takefusa Kubo,93,4.11,5.51,7.53,7.59,9.49,4.18,4.37,1,93.0,11,42
Waldo Rubio Martín,91,4.11,5.51,6.58,7.97,8.1,8.73,4.37,1,91.0,11,42
Takashi Inui,21,4.11,1.52,5.57,4.81,2.28,1.65,4.37,1,21.0,11,42
Daniel José Rodríguez Vázquez,92,4.11,5.51,9.11,3.67,9.87,6.08,4.37,1,92.0,11,42
Marcos Llorente Moreno,68,4.11,5.51,7.53,6.84,7.97,2.09,4.37,1,68.0,11,42
Brais Méndez Portela,25,4.11,1.52,5.57,5.95,1.77,7.22,4.37,1,25.0,11,42
Carlos Fernández Luna,127,4.11,3.42,1.77,8.61,5.95,7.09,4.37,2,63.5,11,42
Carles Pérez Sayol,5,4.11,1.52,0.51,1.58,0.76,0.51,4.37,1,5.0,11,42
Pere Pons Riera,45,4.11,1.52,8.23,1.58,4.05,6.96,4.37,1,45.0,11,42
Manuel Agudo Durán,34,4.11,5.51,7.53,4.43,2.03,1.65,4.37,1,34.0,11,42
Fernando Niño Rodriguez,21,4.11,1.52,3.67,1.58,0.38,9.11,4.37,1,21.0,11,42
Raúl de Tomás Gómez,91,4.11,5.51,7.09,3.92,3.67,4.43,4.37,1,91.0,11,42
José Luis Morales Nogales,139,4.11,3.42,4.94,8.99,9.62,2.28,4.37,2,69.5,11,42
Jaume Vicent Costa Jordá,13,4.11,1.52,0.51,8.73,6.71,0.51,4.37,1,13.0,11,42
Jonathan Calleri,93,4.11,8.29,4.24,6.27,6.33,8.61,4.37,1,93.0,11,42
Adrián Embarba Blázquez,73,4.11,5.51,1.96,7.22,3.04,6.46,4.37,1,73.0,11,42
Sergi Darder Moll,92,4.11,5.51,2.78,4.94,8.73,7.97,4.37,1,92.0,11,42
Guido Marcelo Carrillo,25,4.11,5.51,8.67,1.58,1.9,7.85,4.37,1,25.0,11,42
Sergio Guardiola Navarro,151,4.11,5.51,5.19,5.7,4.81,5.06,4.37,2,75.5,11,42
Javier Eraso Goñi,62,4.11,1.52,1.01,6.52,3.29,7.72,4.37,1,62.0,11,42
Pione Sisto Ifolo Emirmija,62,4.11,5.51,4.75,3.23,2.41,4.81,4.37,1,62.0,11,42
Nikola Vukčević,10,4.11,1.52,3.67,1.58,0.63,9.81,4.37,1,10.0,11,42
Moisés Gómez Bordonado,23,4.11,5.51,3.67,1.58,8.35,6.2,4.37,1,23.0,11,42
Sandro Ramírez Castillo,33,4.11,5.51,5.57,7.34,9.75,0.51,4.37,1,33.0,11,42
Enrique González Casín,23,4.11,1.52,2.41,1.58,2.53,3.04,4.37,1,23.0,11,42
Rubén Rochina Naixes,27,4.11,5.51,9.56,1.58,2.91,9.11,4.37,1,27.0,11,42
Ivan Rakitić,3,4.11,1.52,0.51,0.25,0.51,0.51,4.37,1,3.0,11,42
Karim Benzema,184,4.11,7.59,7.97,4.3,6.08,6.84,4.37,2,92.0,11,42
Javier Hernández Balcázar,25,4.11,5.51,3.67,1.58,0.19,1.9,4.37,1,25.0,11,42
João Félix Sequeira,88,4.11,7.47,6.46,4.56,1.39,1.01,4.37,2,44.0,11,42
Roger Claver Assalé Djapone,47,4.11,5.51,9.56,6.52,2.78,5.7,4.37,1,47.0,11,42
Asier Villalibre Molina,25,4.11,1.52,0.51,1.58,1.27,0.51,4.37,1,25.0,11,42
Pascal Cygan,1,3.88,1.76,0.35,8.82,0.29,9.24,4.65,1,1.0,2,44
Paul Gallagher,56,3.88,1.76,5.41,5.0,3.06,4.12,4.65,1,56.0,2,44
Peter Crouch,4,3.88,1.76,0.35,0.29,0.76,0.47,4.65,1,4.0,2,44
Kenny Miller,76,3.88,4.82,8.12,2.47,1.18,2.47,4.65,1,76.0,2,44
Bobby Zamora,11,3.88,1.76,0.35,0.29,0.59,0.47,4.65,1,11.0,2,44
Duncan Ferguson,92,3.88,1.76,7.41,3.41,4.12,4.24,4.65,1,92.0,2,44
Jérémie Aliadière,242,3.88,3.76,7.29,9.29,4.94,3.76,4.65,8,30.25,2,44
Eduardo César Daude Gaspar,7,3.88,1.76,1.18,0.29,0.29,5.94,4.65,1,7.0,2,44
Emile Heskey,81,3.88,1.76,6.18,6.94,5.06,10.0,4.65,2,40.5,2,44
Boudewijn Zenden,90,3.88,7.76,8.12,2.12,5.88,9.76,4.65,1,90.0,2,44
Andy Cole,124,3.88,6.41,2.82,5.41,5.18,7.76,4.65,2,62.0,2,44
Stern John,42,3.88,1.76,3.47,3.18,1.53,1.06,4.65,2,21.0,2,44
Alan Shearer,184,3.88,7.41,1.88,4.12,6.82,6.94,4.65,2,92.0,2,44
Simon Johnson,7,3.88,1.76,1.53,1.35,1.65,8.94,4.65,1,7.0,2,44
Fredrik Ljungberg,106,3.88,3.65,3.88,4.82,8.82,0.47,4.65,2,53.0,2,44
Marcus Bent,156,3.88,7.29,7.88,8.71,7.76,3.65,4.65,2,78.0,2,44
Trésor Lomana LuaLua,91,3.88,5.94,9.0,8.24,7.41,0.94,4.65,1,91.0,2,44
Steffen Iversen,15,3.88,1.76,4.29,1.35,1.18,2.29,4.65,1,15.0,2,44
Shaun Newton,12,3.88,1.76,9.18,5.82,0.29,9.88,4.65,1,12.0,2,44
Mark Viduka,83,3.88,4.82,7.53,1.35,6.94,7.18,4.65,1,83.0,2,44
Hélder Manuel Marques Postiga,84,3.88,4.82,5.41,6.71,9.53,1.71,4.65,1,84.0,2,44
Frédéric Oumar Kanouté,89,3.88,4.82,2.29,2.47,2.47,4.35,4.65,1,89.0,2,44
Michael Bridges,46,3.88,4.82,5.88,2.82,2.0,8.24,4.65,1,46.0,2,44
Marcus Allbäck,86,3.88,7.06,9.65,1.35,9.18,4.47,4.65,1,86.0,2,44
Mikael Forssell,86,3.88,4.82,3.18,3.65,3.88,4.94,4.65,1,86.0,2,44
Brett Ormerod,92,3.88,4.82,1.53,5.0,2.71,2.59,4.65,1,92.0,2,44
Carl Cort,75,3.88,4.82,0.94,2.47,8.47,5.29,4.65,1,75.0,2,44
Trevor Benjamin,5,3.88,1.76,0.35,0.29,0.29,0.47,4.65,1,5.0,2,44
Trevor Sinclair,92,3.88,1.76,3.47,3.18,8.71,2.0,4.65,1,92.0,2,44
Matt Jansen,72,3.88,4.82,5.41,3.53,3.76,8.65,4.65,1,72.0,2,44
Milan Baroš,26,3.88,1.76,1.53,3.82,9.65,7.35,4.65,1,26.0,2,44
Louis Saha,75,3.88,4.82,0.82,4.53,2.35,3.06,4.65,1,75.0,2,44
Leslie Ferdinand,75,3.88,4.82,6.0,2.71,5.76,3.18,4.65,1,75.0,2,44
Kevin Cyril Davies,183,3.88,6.82,4.94,6.59,6.71,8.82,4.65,2,91.5,2,44
