defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Jubal Rocha Mendes Junior,Auxerre,184.97,6.7,6.7,6.7,6.7,6.8,2,2.1,0.02,0.02,0.02,0.03,0.03,6.72,7,235
Christopher Wooh,Rennes,186.97,6.7,6.7,6.7,6.7,6.7,2,2.1,0.02,0.02,0.02,0.03,0.03,6.7,7,235
Mickaël Nade,Saint-Étienne,169.97,6.8,6.8,6.8,6.7,6.4,2,1.9,0.03,0.03,0.03,0.03,0.05,6.7,7,108
José Ramiro Funes Mori,Villarreal,92.98,6.5,6.5,6.5,7.5,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.68,11,4
Jorge Sáenz de Miera Colmeiro,Celta Vigo,94.98,6.5,6.5,6.5,6.8,7.0,1,1.1,0.02,0.02,0.02,0.03,0.04,6.66,11,42
Christoph Zimmermann,Darmstadt 98,160.98,6.7,6.7,6.7,6.6,6.6,2,1.8,0.02,0.02,0.02,0.03,0.04,6.66,9,281
Joaquín Fernández Moreno,Real Valladolid,92.98,6.5,6.5,6.5,7.3,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.64,11,4
Solomon Kverkvelia,Georgia,180.98,6.8,6.8,6.8,6.5,6.2,3,2.0,0.03,0.03,0.03,0.04,0.06,6.62,55,282
Bernardo Fernandes da Silva Junior,Bochum,132.98,6.4,6.4,6.4,7.0,6.9,2,1.5,0.02,0.02,0.02,0.03,0.04,6.62,9,281
Kaan Ayhan,Turkey,176.95,6.7,6.7,6.7,6.5,6.5,2,2.0,0.03,0.03,0.03,0.04,0.06,6.62,55,282
Lluís López Mármol,Espanyol,90.98,6.4,6.4,6.4,7.2,6.7,1,1.0,0.02,0.02,0.02,0.03,0.04,6.62,11,4
Robin Koch,Eintracht Frankfurt,156.97,6.6,6.6,6.6,6.6,6.6,2,1.7,0.02,0.02,0.02,0.03,0.04,6.6,9,281
Mikel Merino Zazón,Real Sociedad,91.98,6.4,6.4,6.4,7.2,6.6,1,1.0,0.02,0.02,0.02,0.03,0.04,6.6,11,4
Alex Ferrari,Bologna,184.45,6.9,6.9,6.9,6.0,6.3,3,2.0,0.03,0.03,0.03,0.03,0.05,6.6,12,27
Emiliano Daniel Velázquez Maldonado,Rayo Vallecano,90.98,6.4,6.4,6.4,7.2,6.5,1,1.0,0.02,0.02,0.02,0.03,0.04,6.58,11,4
Jody Craddock,Wolverhampton Wanderers,167.0,6.8,6.8,6.8,6.5,6.0,2,1.9,0.03,0.03,0.03,0.03,0.06,6.58,2,44
Cédric Avinel,AC Ajaccio,174.97,6.6,6.6,6.6,6.6,6.5,2,1.9,0.02,0.02,0.02,0.03,0.03,6.58,7,235
Nicolas Pallois,Nantes,159.97,6.4,6.4,6.4,6.9,6.7,2,1.8,0.02,0.02,0.02,0.03,0.03,6.56,7,235
Daniel Filipe Martins Carriço,Sevilla,91.98,6.4,6.4,6.4,7.2,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.56,11,4
Arturo Erasmo Vidal Pardo,Barcelona,93.98,6.5,6.5,6.5,6.9,6.3,1,1.0,0.02,0.02,0.02,0.03,0.04,6.54,11,42
Cédric Hountondji,Angers,171.98,6.6,6.6,6.6,6.6,6.3,2,1.9,0.02,0.02,0.02,0.03,0.03,6.54,7,235
Raúl García Carnero,Leganés,89.98,6.4,6.4,6.4,6.2,7.0,1,1.0,0.02,0.02,0.02,0.03,0.04,6.48,11,4
Raúl Rodríguez Navas,Osasuna,92.97,6.5,6.5,6.5,7.0,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.48,11,42
Lisandro Magallán,Deportivo Alavés,88.97,6.4,6.4,6.4,6.0,7.1,1,1.0,0.02,0.02,0.02,0.03,0.04,6.46,11,42
Diego Roberto Godín Leal,Uruguay,152.98,6.5,6.5,6.5,6.5,6.3,2,1.7,0.03,0.03,0.03,0.03,0.05,6.46,43,106
Sergio Busquets i Burgos,Barcelona,93.98,6.5,6.5,6.5,6.4,6.3,1,1.0,0.02,0.02,0.02,0.03,0.04,6.44,11,4
Pedro Bigas Rigo,Eibar,89.0,6.4,6.4,6.4,6.1,6.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.44,11,4
Xabier Etxeita Gorritxategi,Getafe,93.98,6.5,6.5,6.5,6.8,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.44,11,42
Sebastiaan Bornauw,Wolfsburg,131.0,6.4,6.4,6.4,6.3,6.6,2,1.5,0.02,0.02,0.02,0.03,0.04,6.42,9,281
Edinaldo Gomes Pereira,Espanyol,88.98,6.4,6.4,6.4,6.0,6.8,1,1.0,0.02,0.02,0.02,0.03,0.04,6.4,11,42
Rodrigo Ely,AC Milan,173.98,6.7,6.7,6.7,5.9,6.0,3,1.9,0.03,0.03,0.03,0.03,0.05,6.4,12,27
Paulo André Rodrigues de Oliveira,Eibar,92.98,6.5,6.5,6.5,6.2,6.2,1,1.0,0.02,0.02,0.02,0.03,0.04,6.38,11,4
Giorgi Gvelesiani,Georgia,164.9,6.6,6.6,6.6,6.3,5.8,3,1.8,0.03,0.03,0.03,0.04,0.06,6.38,55,282
David García Zubiría,Osasuna,97.98,6.6,6.6,6.6,6.1,6.0,1,1.1,0.02,0.02,0.02,0.03,0.04,6.38,11,42
Víctor David Díaz Miguel,Granada,87.0,6.0,6.0,6.0,7.0,6.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.38,11,90
Jorge Pulido Mayoral,Huesca,92.98,6.1,6.1,6.1,7.0,6.5,1,1.0,0.02,0.02,0.02,0.03,0.04,6.36,11,90
Lucas René Olaza Catrofe,Real Valladolid,91.98,6.1,6.1,6.1,6.1,7.3,2,1.0,0.02,0.02,0.02,0.03,0.04,6.34,11,90
Manuel Gulde,Freiburg,120.93,6.3,6.3,6.3,6.2,6.6,2,1.3,0.02,0.02,0.02,0.03,0.04,6.34,9,281
Chidozie Collins Awaziem,Leganés,96.93,6.5,6.5,6.5,6.1,6.0,1,1.1,0.02,0.02,0.02,0.03,0.04,6.32,11,42
Joaquín Navarro Jiménez,Deportivo Alavés,90.98,6.4,6.4,6.4,6.0,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.32,11,42
Alejandro Gálvez Jimena,Rayo Vallecano,91.98,6.4,6.4,6.4,6.2,6.2,1,1.0,0.02,0.02,0.02,0.03,0.04,6.32,11,4
Sergino Dest,Barcelona,120.97,6.3,6.3,6.3,6.3,6.3,2,1.3,0.02,0.02,0.02,0.03,0.04,6.3,11,90
Kenneth Josiah Omeruo,Leganés,94.97,6.5,6.5,6.5,6.2,5.8,1,1.1,0.02,0.02,0.02,0.03,0.04,6.3,11,4
Christoph Klarer,Darmstadt 98,92.98,6.0,6.0,6.0,7.0,6.5,1,1.0,0.02,0.02,0.02,0.03,0.04,6.3,9,281
Ivan Rakitić,Barcelona,88.0,6.4,6.4,6.4,6.1,6.1,1,1.0,0.02,0.02,0.02,0.03,0.04,6.28,11,4
Florian Grillitsch,Hoffenheim,95.98,6.0,6.0,6.0,7.2,6.2,1,1.1,0.02,0.02,0.02,0.03,0.04,6.28,9,281
David López Silva,Espanyol,91.98,6.4,6.4,6.4,6.2,6.0,1,1.0,0.02,0.02,0.02,0.03,0.04,6.28,11,4
David Costas Cordal,Celta Vigo,86.98,6.4,6.4,6.4,6.1,6.1,1,1.0,0.02,0.02,0.02,0.03,0.04,6.28,11,4
Alberto Rodríguez Baró,Deportivo Alavés,89.0,6.0,6.0,6.0,6.0,7.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.28,11,90
Aridane Hernández Umpiérrez,Osasuna,92.98,6.5,6.5,6.5,6.0,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.28,11,42
Marcos Mauro López Gutiérrez,Cádiz,120.88,6.3,6.3,6.3,6.3,6.1,2,1.3,0.02,0.02,0.02,0.03,0.04,6.26,11,90
Mouctar Diakhaby,Valencia,117.97,6.3,6.3,6.3,6.3,6.1,2,1.3,0.02,0.02,0.02,0.03,0.04,6.26,11,90
Gennaro Sardo,Chievo,135.97,6.2,6.2,6.2,6.4,6.2,2,1.5,0.03,0.03,0.03,0.03,0.05,6.24,12,27
Rubén Alcaraz Jiménez,Real Valladolid,93.98,6.1,6.1,6.1,6.7,6.2,1,1.0,0.02,0.02,0.02,0.03,0.04,6.24,11,90
Kiliann Sildillia,Freiburg,94.98,6.0,6.0,6.0,6.6,6.6,1,1.1,0.02,0.02,0.02,0.03,0.04,6.24,9,281
Bruno González Cabrera,Real Valladolid,92.98,6.1,6.1,6.1,6.9,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.22,11,90
Maxime Esteve,Montpellier,93.93,6.0,6.0,6.0,6.6,6.5,1,1.0,0.03,0.03,0.03,0.03,0.05,6.22,7,108
Matthias Bader,Darmstadt 98,93.98,6.0,6.0,6.0,6.7,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.22,9,281
Rasmus Nicolaisen,Toulouse,140.95,6.2,6.2,6.2,6.2,6.3,2,1.6,0.02,0.02,0.02,0.03,0.03,6.22,7,235
Moritz Jenz,Wolfsburg,117.98,6.2,6.2,6.2,6.2,6.3,2,1.3,0.02,0.02,0.02,0.03,0.04,6.22,9,281
Esteban Rodrigo Burgos,Eibar,90.95,6.4,6.4,6.4,6.0,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.22,11,42
Anton Stach,Hoffenheim,93.95,6.0,6.0,6.0,6.7,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.22,9,281
Gonzalo Cacicedo Verdú,Elche,92.98,6.1,6.1,6.1,6.1,6.7,1,1.0,0.02,0.02,0.02,0.03,0.04,6.22,11,90
Joseph Scally,Borussia Mönchengladbach,92.98,6.0,6.0,6.0,6.9,6.1,1,1.0,0.02,0.02,0.02,0.03,0.04,6.2,9,281
Matej Maglica,Darmstadt 98,103.98,6.1,6.1,6.1,6.1,6.6,2,1.2,0.02,0.02,0.02,0.03,0.04,6.2,9,281
Stian Rode Gregersen,Bordeaux,92.98,6.0,6.0,6.0,6.7,6.2,1,1.0,0.03,0.03,0.03,0.03,0.05,6.18,7,108
Unai Núñez Gestoso,Athletic Club,91.98,6.1,6.1,6.1,6.1,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.16,11,90
Scott McKenna,Scotland,147.82,6.3,6.3,6.3,6.1,5.8,3,1.6,0.03,0.03,0.03,0.04,0.06,6.16,55,282
Alejandro Grimaldo García,Bayer Leverkusen,94.98,6.0,6.0,6.0,6.6,6.2,1,1.1,0.02,0.02,0.02,0.03,0.04,6.16,9,281
Lucas Hernández Pi,Atlético Madrid,85.98,6.3,6.3,6.3,6.1,5.8,1,1.0,0.02,0.02,0.02,0.03,0.04,6.16,11,4
Paul Jaeckel,Union Berlin,91.95,6.0,6.0,6.0,6.5,6.3,1,1.0,0.02,0.02,0.02,0.03,0.04,6.16,9,281
Hugo Mallo Novegil,Celta Vigo,92.98,6.1,6.1,6.1,6.1,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.16,11,90
Joseph Phillip Yobo,Everton,91.98,5.8,5.8,5.8,6.9,6.4,1,1.0,0.03,0.03,0.03,0.03,0.06,6.14,2,44
Gonçalo Bernardo Inácio,Portugal,121.97,6.0,6.0,6.0,6.5,6.2,2,1.4,0.03,0.03,0.03,0.04,0.06,6.14,55,282
Michele Camporese,Empoli,158.0,6.5,6.5,6.5,5.8,5.4,2,1.8,0.03,0.03,0.03,0.03,0.05,6.14,12,27
Juan Marcos Foyth,Villarreal,94.98,6.1,6.1,6.1,6.1,6.2,1,1.1,0.02,0.02,0.02,0.03,0.04,6.12,11,90
Lennard Maloney,FC Heidenheim,92.98,6.0,6.0,6.0,6.7,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.12,9,281
Mahdi Camara,Saint-Étienne,88.98,5.9,5.9,5.9,6.6,6.3,1,1.0,0.03,0.03,0.03,0.03,0.05,6.12,7,108
Erhan Mašović,Bochum,101.0,6.1,6.1,6.1,6.5,5.8,2,1.1,0.02,0.02,0.02,0.03,0.04,6.12,9,281
Pape Abou Cissé,Senegal,114.45,6.0,6.0,6.0,6.0,6.6,3,1.3,0.03,0.03,0.03,0.03,0.05,6.12,43,106
Kieran Tierney,Scotland,133.0,6.1,6.1,6.1,6.0,6.3,2,1.5,0.03,0.03,0.03,0.04,0.06,6.12,55,282
Kevin Vogt,Hoffenheim,94.98,6.0,6.0,6.0,6.0,6.6,2,1.1,0.02,0.02,0.02,0.03,0.04,6.12,9,281
Eric Dier,Bayern Munich,92.98,6.0,6.0,6.0,6.0,6.5,1,1.0,0.02,0.02,0.02,0.03,0.04,6.1,9,281
Anthony Caci,FSV Mainz 05,92.98,6.0,6.0,6.0,6.4,6.1,1,1.0,0.02,0.02,0.02,0.03,0.04,6.1,9,281
Boubakar Kouyate,Montpellier,93.98,5.7,5.7,5.7,6.8,6.6,1,1.0,0.02,0.02,0.02,0.03,0.03,6.1,7,235
Danny Higginbotham,Southampton,93.98,5.8,5.8,5.8,5.7,7.4,1,1.0,0.03,0.03,0.03,0.03,0.06,6.1,2,44
Dominik Kohr,FSV Mainz 05,92.98,6.0,6.0,6.0,6.0,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.08,9,281
Tim Siersleben,FC Heidenheim,95.97,6.0,6.0,6.0,6.0,6.4,1,1.1,0.02,0.02,0.02,0.03,0.04,6.08,9,281
Emre Can,Borussia Dortmund,89.0,6.0,6.0,6.0,6.5,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.08,9,281
Anel Ahmedhodžić,Bordeaux,93.98,6.0,6.0,6.0,6.0,6.4,1,1.0,0.03,0.03,0.03,0.03,0.05,6.08,7,108
David Unsworth,Everton,92.98,5.8,5.8,5.8,5.7,7.2,1,1.0,0.03,0.03,0.03,0.03,0.06,6.06,2,44
Benedikt Gimber,FC Heidenheim,79.0,5.9,5.9,5.9,6.7,5.9,1,0.9,0.02,0.02,0.02,0.03,0.04,6.06,9,281
Iván Ramis Barrios,Eibar,76.0,6.2,6.2,6.2,6.0,5.7,1,0.8,0.02,0.02,0.02,0.03,0.04,6.06,11,4
Daniel Vivian Moreno,Spain,127.97,6.1,6.1,6.1,5.9,6.1,2,1.4,0.03,0.03,0.03,0.04,0.06,6.06,55,282
José Manuel Sánchez Guillén,Elche,89.0,6.0,6.0,6.0,6.0,6.3,1,1.0,0.02,0.02,0.02,0.03,0.04,6.06,11,90
Kevin Akpoguma,Hoffenheim,87.0,5.9,5.9,5.9,6.5,6.1,1,1.0,0.02,0.02,0.02,0.03,0.04,6.06,9,281
Unai García Lugea,Osasuna,87.0,6.0,6.0,6.0,6.0,6.3,1,1.0,0.02,0.02,0.02,0.03,0.04,6.06,11,90
Iago Amaral Borduchi,Augsburg,88.0,5.9,5.9,5.9,6.6,6.0,1,1.0,0.02,0.02,0.02,0.03,0.04,6.06,9,281
Emir Karic,Darmstadt 98,90.98,6.0,6.0,6.0,5.9,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.06,9,281
Edimilson Fernandes,FSV Mainz 05,91.98,6.0,6.0,6.0,5.9,6.4,1,1.0,0.02,0.02,0.02,0.03,0.04,6.06,9,281
Carlos Domínguez Cáceres,Celta Vigo,84.0,6.0,6.0,6.0,6.0,6.2,1,0.9,0.02,0.02,0.02,0.03,0.04,6.04,11,90
Giulian Biancone,Troyes,88.0,5.9,5.9,5.9,6.7,5.8,1,1.0,0.03,0.03,0.03,0.03,0.05,6.04,7,108
Gerzino Nyamsi,Strasbourg,91.98,5.9,5.9,5.9,5.9,6.6,1,1.0,0.03,0.03,0.03,0.03,0.05,6.04,7,108
Hiroki Ito,VfB Stuttgart,97.98,6.0,6.0,6.0,6.0,6.2,1,1.1,0.02,0.02,0.02,0.03,0.04,6.04,9,281
Lukas Klostermann,RB Leipzig,94.98,6.0,6.0,6.0,6.0,6.2,1,1.1,0.02,0.02,0.02,0.03,0.04,6.04,9,281
Dan-Axel Zagadou,VfB Stuttgart,94.98,6.0,6.0,6.0,6.0,6.2,1,1.1,0.02,0.02,0.02,0.03,0.04,6.04,9,281
Danilho Doekhi,Union Berlin,94.98,6.0,6.0,6.0,6.0,6.1,1,1.1,0.02,0.02,0.02,0.03,0.04,6.02,9,281
Mohamed Simakan,RB Leipzig,95.98,6.0,6.0,6.0,6.0,6.1,1,1.1,0.02,0.02,0.02,0.03,0.04,6.02,9,281
Antonio Barragán Fernández,Elche,89.98,6.0,6.0,6.0,6.0,6.1,1,1.0,0.02,0.02,0.02,0.03,0.04,6.02,11,90
Luan Peres Petroni,Marseille,94.98,6.0,6.0,6.0,6.0,6.1,1,1.1,0.03,0.03,0.03,0.03,0.05,6.02,7,108
Simon Charlton,Bolton Wanderers,89.0,5.8,5.8,5.8,5.7,6.9,1,1.0,0.03,0.03,0.03,0.03,0.06,6.0,2,44
Jonathan Woodgate,Newcastle United,92.98,5.8,5.8,5.8,6.6,6.0,1,1.0,0.03,0.03,0.03,0.03,0.06,6.0,2,44
Laureano Bisan-Etame Mayer,Arsenal,93.98,5.8,5.8,5.8,6.6,6.0,1,1.0,0.03,0.03,0.03,0.03,0.06,6.0,2,44
Lucas Silva Melo,Eintracht Frankfurt,94.98,6.0,6.0,6.0,6.0,6.0,1,1.1,0.02,0.02,0.02,0.03,0.04,6.0,9,281
Wes Brown,Manchester United,88.98,5.8,5.8,5.8,6.6,6.0,1,1.0,0.03,0.03,0.03,0.03,0.06,6.0,2,44
Jason Denayer,Lyon,94.98,6.0,6.0,6.0,6.0,6.0,1,1.1,0.03,0.03,0.03,0.03,0.05,6.0,7,108
Tim Drexler,Hoffenheim,95.98,6.0,6.0,6.0,6.0,6.0,1,1.1,0.02,0.02,0.02,0.03,0.04,6.0,9,281
Christian Groß,Werder Bremen,86.0,5.9,5.9,5.9,6.4,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,6.0,9,281
Dennis Appiah,Nantes,87.0,5.9,5.9,5.9,6.6,5.7,1,1.0,0.03,0.03,0.03,0.03,0.05,6.0,7,108
Enzo Ebosse,Cameroon,92.98,5.8,5.8,5.8,6.7,5.8,1,1.0,0.03,0.03,0.03,0.03,0.05,5.98,43,106
Sofian Chakla,Getafe,90.98,6.0,6.0,6.0,6.0,5.9,1,1.0,0.02,0.02,0.02,0.03,0.04,5.98,11,90
Jean-Claude Billong,Clermont Foot,88.0,5.9,5.9,5.9,5.9,6.3,1,1.0,0.03,0.03,0.03,0.03,0.05,5.98,7,108
Sinaly Diomande,Lyon,90.98,5.7,5.7,5.7,6.7,6.1,1,1.0,0.02,0.02,0.02,0.03,0.03,5.98,7,235
Stefan Bell,FSV Mainz 05,90.98,6.0,6.0,6.0,5.9,6.0,1,1.0,0.02,0.02,0.02,0.03,0.04,5.98,9,281
Erick Cathriel Cabaco Almada,Getafe,88.0,6.0,6.0,6.0,6.0,5.8,1,1.0,0.02,0.02,0.02,0.03,0.04,5.96,11,90
Nehuén Pérez,Granada,87.98,6.0,6.0,6.0,6.0,5.8,1,1.0,0.02,0.02,0.02,0.03,0.04,5.96,11,90
Abdu Conté,Troyes,90.98,5.9,5.9,5.9,5.9,6.2,1,1.0,0.03,0.03,0.03,0.03,0.05,5.96,7,108
João Maria Lobo Alves Palhinha Gonçalves,Portugal,119.98,6.0,6.0,6.0,6.0,5.8,1,1.3,0.03,0.03,0.03,0.04,0.06,5.96,55,282
Anthony Jung,Werder Bremen,82.0,5.9,5.9,5.9,5.9,6.2,1,0.9,0.02,0.02,0.02,0.03,0.04,5.96,9,281
Isaac Carcelén Valencia,Cádiz,85.0,6.0,6.0,6.0,6.0,5.8,1,0.9,0.02,0.02,0.02,0.03,0.04,5.96,11,90
Houboulang Mendes,Lorient,89.98,5.9,5.9,5.9,5.9,6.1,1,1.0,0.03,0.03,0.03,0.03,0.05,5.94,7,108
Julián Malatini,Werder Bremen,87.0,5.9,5.9,5.9,5.9,6.1,1,1.0,0.02,0.02,0.02,0.03,0.04,5.94,9,281
Marcelo Antônio Guedes Filho,Bordeaux,88.98,5.9,5.9,5.9,5.9,6.1,1,1.0,0.03,0.03,0.03,0.03,0.05,5.94,7,108
Ivan Ordets,Bochum,90.98,6.0,6.0,6.0,5.9,5.8,1,1.0,0.02,0.02,0.02,0.03,0.04,5.94,9,281
Nicolas Louis Marcel Cozza,Montpellier,88.97,5.9,5.9,5.9,5.9,6.1,1,1.0,0.03,0.03,0.03,0.03,0.05,5.94,7,108
Tiago Emanuel Embaló Djaló,Lille,108.98,5.9,5.9,5.9,5.9,6.1,2,1.2,0.02,0.02,0.02,0.03,0.03,5.94,7,235
Hugo Guillamón Sanmartín,Valencia,77.0,5.9,5.9,5.9,5.9,6.1,1,0.9,0.02,0.02,0.02,0.03,0.04,5.94,11,90
Marco Friedl,Werder Bremen,91.98,6.0,6.0,6.0,5.9,5.8,1,1.0,0.02,0.02,0.02,0.03,0.04,5.94,9,281
Moussa Diarra,Toulouse,89.98,5.6,5.6,5.6,6.7,6.1,1,1.0,0.02,0.02,0.02,0.03,0.03,5.92,7,235
Sven Botman,Lille,89.97,5.9,5.9,5.9,5.9,6.0,1,1.0,0.03,0.03,0.03,0.03,0.05,5.92,7,108
Gaël Clichy,Arsenal,88.0,5.8,5.8,5.8,6.4,5.8,1,1.0,0.03,0.03,0.03,0.03,0.06,5.92,2,44
Chris Riggott,Middlesbrough,106.0,6.0,6.0,6.0,5.8,5.8,2,1.2,0.03,0.03,0.03,0.03,0.06,5.92,2,44
Olivier Tébily,Birmingham City,90.98,5.8,5.8,5.8,6.2,6.0,1,1.0,0.03,0.03,0.03,0.03,0.06,5.92,2,44
Fitz Hall,Southampton,90.98,5.8,5.8,5.8,5.7,6.5,1,1.0,0.03,0.03,0.03,0.03,0.06,5.92,2,44
Brendan Chardonnet,Stade Brestois,93.98,5.7,5.7,5.7,6.6,5.9,1,1.0,0.02,0.02,0.02,0.03,0.03,5.92,7,235
Cédric Zesiger,Wolfsburg,85.0,5.9,5.9,5.9,5.9,6.0,1,0.9,0.02,0.02,0.02,0.03,0.04,5.92,9,281
Titus Malachi Bramble,Newcastle United,92.98,5.8,5.8,5.8,5.7,6.4,1,1.0,0.03,0.03,0.03,0.03,0.06,5.9,2,44
José Vitor Roque Júnior,Leeds United,90.98,5.8,5.8,5.8,6.1,6.0,1,1.0,0.03,0.03,0.03,0.03,0.06,5.9,2,44
"Bruno N""Gotty",Bolton Wanderers,91.97,5.8,5.8,5.8,5.7,6.4,1,1.0,0.03,0.03,0.03,0.03,0.06,5.9,2,44
Peru Nolaskoain Esnal,Athletic Club,65.0,6.0,6.0,6.0,5.9,5.6,1,0.7,0.02,0.02,0.02,0.03,0.04,5.9,11,4
Woo-Young Jung,South Korea,96.98,5.8,5.8,5.8,5.8,6.2,1,1.1,0.03,0.03,0.03,0.03,0.05,5.88,43,106
Jordi Amat Maas,Rayo Vallecano,61.0,5.9,5.9,5.9,5.8,5.9,1,0.7,0.02,0.02,0.02,0.03,0.04,5.88,11,4
Youssouf Ndayishimiye,OGC Nice,89.98,5.6,5.6,5.6,6.4,6.2,1,1.0,0.02,0.02,0.02,0.03,0.03,5.88,7,235
Chris Perry,Charlton Athletic,87.0,5.8,5.8,5.8,6.5,5.5,1,1.0,0.03,0.03,0.03,0.03,0.06,5.88,2,44
Juan Pablo Vargas Campos,Costa Rica,96.98,5.8,5.8,5.8,5.8,6.2,1,1.1,0.03,0.03,0.03,0.03,0.05,5.88,43,106
Alexander Djiku,Ghana,101.82,5.9,5.9,5.9,5.9,5.7,2,1.1,0.03,0.03,0.03,0.03,0.05,5.86,43,106
Riccardo Scimeca,Leicester City,92.98,5.8,5.8,5.8,5.7,6.2,1,1.0,0.03,0.03,0.03,0.03,0.06,5.86,2,44
Birama Touré,Auxerre,90.98,5.7,5.7,5.7,6.4,5.8,1,1.0,0.02,0.02,0.02,0.03,0.03,5.86,7,235
Léo Pétrot,Lorient,87.0,5.9,5.9,5.9,5.9,5.7,1,1.0,0.03,0.03,0.03,0.03,0.05,5.86,7,108
David Sommeil,Manchester City,87.98,5.8,5.8,5.8,5.6,6.3,1,1.0,0.03,0.03,0.03,0.03,0.06,5.86,2,44
Zoumana Camara,Leeds United,87.0,5.8,5.8,5.8,5.6,6.3,1,1.0,0.03,0.03,0.03,0.03,0.06,5.86,2,44
Zat Knight,Fulham,91.97,5.8,5.8,5.8,5.7,6.2,1,1.0,0.03,0.03,0.03,0.03,0.06,5.86,2,44
Richard Dunne,Manchester City,93.98,5.8,5.8,5.8,5.7,6.2,1,1.0,0.03,0.03,0.03,0.03,0.06,5.86,2,44
Maximilian Mittelstädt,VfB Stuttgart,75.0,5.8,5.8,5.8,5.8,6.0,1,0.8,0.02,0.02,0.02,0.03,0.04,5.84,9,281
Martín Zubimendi Ibáñez,Real Sociedad,66.0,5.8,5.8,5.8,5.8,6.0,1,0.7,0.02,0.02,0.02,0.03,0.04,5.84,11,90
Mario Melchiot,Chelsea,92.98,5.8,5.8,5.8,5.7,6.1,1,1.0,0.03,0.03,0.03,0.03,0.06,5.84,2,44
Facundo Axel Medina,Lens,88.98,5.6,5.6,5.6,6.2,6.2,1,1.0,0.02,0.02,0.02,0.03,0.03,5.84,7,235
Bassam Hisham Al Rawi,Qatar,94.97,5.8,5.8,5.8,5.8,6.0,1,1.1,0.03,0.03,0.03,0.03,0.05,5.84,43,106
Michael Duberry,Leeds United,91.97,5.8,5.8,5.8,5.7,6.0,1,1.0,0.03,0.03,0.03,0.03,0.06,5.82,2,44
Axel Disasi,AS Monaco,95.98,5.7,5.7,5.7,5.7,6.3,1,1.1,0.02,0.02,0.02,0.03,0.03,5.82,7,235
Robert Huth,Chelsea,92.98,5.8,5.8,5.8,5.7,6.0,1,1.0,0.03,0.03,0.03,0.03,0.06,5.82,2,44
Thiago Henrique Mendes Ribeiro,Lyon,93.97,5.7,5.7,5.7,5.7,6.3,1,1.0,0.02,0.02,0.02,0.03,0.03,5.82,7,235
Souleymane Isaak Toure,Auxerre,94.98,5.7,5.7,5.7,5.7,6.3,1,1.1,0.02,0.02,0.02,0.03,0.03,5.82,7,235
Erik Palmer-Brown,Troyes,91.98,5.7,5.7,5.7,5.7,6.2,1,1.0,0.02,0.02,0.02,0.03,0.03,5.8,7,235
Benoît Badiashile Mukinayi,AS Monaco,93.98,5.7,5.7,5.7,5.7,6.2,1,1.0,0.02,0.02,0.02,0.03,0.03,5.8,7,235
Eric Bertrand Bailly,Marseille,104.0,5.8,5.8,5.8,5.8,5.8,2,1.2,0.02,0.02,0.02,0.03,0.03,5.8,7,235
Vincent Le Goff,Lorient,93.98,5.7,5.7,5.7,5.7,6.2,1,1.0,0.02,0.02,0.02,0.03,0.03,5.8,7,235
Matthijs de Ligt,Netherlands,99.35,5.8,5.8,5.8,5.8,5.8,2,1.1,0.03,0.03,0.03,0.03,0.05,5.8,43,106
Robin Knoche,Union Berlin,67.98,5.7,5.7,5.7,5.7,6.2,1,0.8,0.02,0.02,0.02,0.03,0.04,5.8,9,281
Éder Gabriel Militão,Brazil,98.98,5.8,5.8,5.8,5.8,5.8,1,1.1,0.03,0.03,0.03,0.03,0.05,5.8,43,106
Abdoulaye Bamba,Angers,87.0,5.6,5.6,5.6,6.7,5.5,1,1.0,0.02,0.02,0.02,0.03,0.03,5.8,7,235
Steven Caldwell,Leeds United,81.0,5.7,5.7,5.7,5.6,6.3,1,0.9,0.03,0.03,0.03,0.03,0.06,5.8,2,44
