defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Kenny Cunningham,Birmingham City,183.97,7.1,7.1,7.1,6.7,7.3,2,2.0,0.03,0.03,0.03,0.03,0.06,7.06,2,44
Pablo Ínsua Blanco,Huesca,160.0,6.7,6.7,6.7,8.3,6.8,2,1.8,0.02,0.02,0.02,0.03,0.04,7.04,11,90
Andreaw Gravillon,Stade de Reims,183.97,6.9,6.9,6.9,6.9,7.6,2,2.0,0.03,0.03,0.03,0.03,0.05,7.04,7,108
Leonardo Julián Balerdi Rossa,Marseille,184.97,6.7,6.7,6.7,7.3,7.7,2,2.1,0.02,0.02,0.02,0.03,0.03,7.02,7,235
Francisco Javier Calvo Quesada,Costa Rica,190.97,7.0,7.0,7.0,7.0,7.1,2,2.1,0.03,0.03,0.03,0.03,0.05,7.02,43,106
Stefan Savić,Atlético Madrid,177.98,6.9,6.9,6.9,6.9,7.5,2,2.0,0.02,0.02,0.02,0.03,0.04,7.02,11,90
Issa Cissokho,Genoa,215.92,7.4,7.4,7.4,6.3,6.6,3,2.4,0.03,0.03,0.03,0.03,0.05,7.02,12,27
Warmed Omari,Rennes,190.93,7.0,7.0,7.0,7.0,7.1,2,2.1,0.03,0.03,0.03,0.03,0.05,7.02,7,108
Timo Hübers,FC Köln,183.97,6.9,6.9,6.9,7.4,7.0,2,2.0,0.02,0.02,0.02,0.03,0.04,7.02,9,281
Dejan Stefanovic,Portsmouth,180.95,7.0,7.0,7.0,6.7,7.4,2,2.0,0.03,0.03,0.03,0.03,0.06,7.02,2,44
Gareth Southgate,Middlesbrough,179.98,7.0,7.0,7.0,6.7,7.4,2,2.0,0.03,0.03,0.03,0.03,0.06,7.02,2,44
Jonathan Gradit,Lens,183.97,6.9,6.9,6.9,6.9,7.4,2,2.0,0.03,0.03,0.03,0.03,0.05,7.0,7,108
Matthew Upson,Birmingham City,183.95,7.1,7.1,7.1,6.7,7.0,2,2.0,0.03,0.03,0.03,0.03,0.06,7.0,2,44
Julian Chabot,FC Köln,185.97,6.9,6.9,6.9,6.9,7.4,2,2.1,0.02,0.02,0.02,0.03,0.04,7.0,9,281
Felix Uduokhai,Augsburg,185.95,6.9,6.9,6.9,6.9,7.4,2,2.1,0.02,0.02,0.02,0.03,0.04,7.0,9,281
Achraf Dari,Morocco,197.97,7.1,7.1,7.1,7.1,6.6,3,2.2,0.03,0.03,0.03,0.03,0.05,7.0,43,106
Waldemar Anton,VfB Stuttgart,188.97,7.0,7.0,7.0,6.9,7.1,2,2.1,0.02,0.02,0.02,0.03,0.04,7.0,9,281
Andrei Girotto,Nantes,181.98,6.7,6.7,6.7,7.8,7.0,2,2.0,0.02,0.02,0.02,0.03,0.03,6.98,7,235
Arjan de Zeeuw,Portsmouth,180.98,7.0,7.0,7.0,7.8,6.0,2,2.0,0.03,0.03,0.03,0.03,0.06,6.96,2,44
Jean-Charles Castelletto,Cameroon,185.95,6.9,6.9,6.9,6.9,7.2,2,2.1,0.03,0.03,0.03,0.03,0.05,6.96,43,106
Gabriel Armando de Abreu,Valencia,182.95,6.9,6.9,6.9,6.9,7.2,2,2.0,0.02,0.02,0.02,0.03,0.04,6.96,11,90
Sami Hyypiä,Liverpool,178.97,7.0,7.0,7.0,6.7,7.1,2,2.0,0.03,0.03,0.03,0.03,0.06,6.96,2,44
Pedro Miguel Correia,Qatar,177.98,6.8,6.8,6.8,6.8,7.6,2,2.0,0.03,0.03,0.03,0.03,0.05,6.96,43,106
